Linux 5.4.0-144-generic (grayfox) 	03/29/23 	_x86_64_	(32 CPU)

08:04:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:22     all    9.60    0.00    5.07    0.06    0.00    1.80    0.00    0.00    0.00   83.47
08:04:22       0    7.53    0.00    3.23    0.00    0.00    2.15    0.00    0.00    0.00   87.10
08:04:22       1   10.89    0.00    6.93    0.00    0.00    1.98    0.00    0.00    0.00   80.20
08:04:22       2    9.38    0.00    3.12    0.00    0.00    2.08    0.00    0.00    0.00   85.42
08:04:22       3    7.14    0.00    6.12    1.02    0.00    1.02    0.00    0.00    0.00   84.69
08:04:22       4   10.10    0.00    4.04    0.00    0.00    3.03    0.00    0.00    0.00   82.83
08:04:22       5   10.53    0.00    4.21    0.00    0.00    1.05    0.00    0.00    0.00   84.21
08:04:22       6    8.33    0.00    6.25    0.00    0.00    1.04    0.00    0.00    0.00   84.38
08:04:22       7   10.20    0.00    6.12    0.00    0.00    1.02    0.00    0.00    0.00   82.65
08:04:22       8   11.88    0.00    4.95    0.00    0.00    1.98    0.00    0.00    0.00   81.19
08:04:22       9    8.42    0.00    5.26    0.00    0.00    1.05    0.00    0.00    0.00   85.26
08:04:22      10    9.38    0.00    4.17    0.00    0.00    2.08    0.00    0.00    0.00   84.38
08:04:22      11   10.31    0.00    4.12    0.00    0.00    2.06    0.00    0.00    0.00   83.51
08:04:22      12    7.29    0.00    4.17    0.00    0.00    3.12    0.00    0.00    0.00   85.42
08:04:22      13   12.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
08:04:22      14    6.25    0.00    8.33    0.00    0.00    1.04    0.00    0.00    0.00   84.38
08:04:22      15   12.12    0.00    4.04    0.00    0.00    2.02    0.00    0.00    0.00   81.82
08:04:22      16    6.38    0.00    5.32    0.00    0.00    2.13    0.00    0.00    0.00   86.17
08:04:22      17   10.20    0.00    4.08    0.00    0.00    2.04    0.00    0.00    0.00   83.67
08:04:22      18   11.22    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   82.65
08:04:22      19    8.16    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   83.67
08:04:22      20   11.11    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   81.82
08:04:22      21   10.42    0.00    4.17    0.00    0.00    1.04    0.00    0.00    0.00   84.38
08:04:22      22    6.12    0.00    6.12    0.00    0.00    4.08    0.00    0.00    0.00   83.67
08:04:22      23   13.86    0.00    3.96    0.00    0.00    1.98    0.00    0.00    0.00   80.20
08:04:22      24    8.60    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   88.17
08:04:22      25    9.47    0.00    4.21    0.00    0.00    1.05    0.00    0.00    0.00   85.26
08:04:22      26   10.10    0.00    6.06    0.00    0.00    3.03    0.00    0.00    0.00   80.81
08:04:22      27    8.42    0.00    5.26    0.00    0.00    1.05    0.00    0.00    0.00   85.26
