Linux 5.4.0-73-generic (graymob) 	04/28/2023 	_x86_64_	(32 CPU)

04:46:58   CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:46:59   all   14.87    0.00    3.20    0.00    0.00    1.73    0.00    0.00    0.00   80.21
04:46:59     0   16.84    0.00    3.16    0.00    0.00    2.11    0.00    0.00    0.00   77.89
04:46:59     1   12.24    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   82.65
04:46:59     2   16.49    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   78.35
04:46:59     3   11.11    0.00    2.02    0.00    0.00    4.04    0.00    0.00    0.00   82.83
04:46:59     4   15.79    0.00    4.21    0.00    0.00    2.11    0.00    0.00    0.00   77.89
04:46:59     5   11.58    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   87.37
04:46:59     6   24.24    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   72.73
04:46:59     7   13.27    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   83.67
04:46:59     8   20.41    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   76.53
04:46:59     9   11.70    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   86.17
04:46:59    10   17.53    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   77.32
04:46:59    11   12.87    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   82.18
04:46:59    12   18.81    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   76.24
04:46:59    13   22.45    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   71.43
04:46:59    14   18.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   77.00
04:46:59    15   12.63    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   85.26
04:46:59    16   17.17    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   78.79
04:46:59    17   11.34    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   85.57
04:46:59    18   16.16    0.00    3.03    0.00    0.00    4.04    0.00    0.00    0.00   76.77
04:46:59    19   12.12    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   83.84
04:46:59    20   13.86    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   82.18
04:46:59    21   11.22    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   84.69
04:46:59    22   13.27    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   83.67
04:46:59    23   15.84    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   82.18
04:46:59    24   13.83    0.00    1.06    0.00    0.00    1.06    0.00    0.00    0.00   84.04
04:46:59    25   13.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
04:46:59    26   18.56    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   76.29
04:46:59    27   11.22    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   83.67
04:46:59    28    6.32    0.00    1.05    0.00    0.00   29.47    0.00    0.00    0.00   63.16
04:46:59    29   11.34    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   84.54
04:46:59    30   20.41    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   74.49
04:46:59    31   13.40    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   84.54

04:46:59   CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:47:00   all   14.72    0.00    3.29    0.03    0.00    1.63    0.00    0.00    0.00   80.33
04:47:00     0   17.89    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   80.00
04:47:00     1   12.77    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   86.17
04:47:00     2   22.45    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   72.45
04:47:00     3   15.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
04:47:00     4   14.74    0.00    3.16    0.00    0.00    3.16    0.00    0.00    0.00   78.95
04:47:00     5   12.24    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   82.65
04:47:00     6   18.95    0.00    2.11    0.00    0.00    2.11    0.00    0.00    0.00   76.84
04:47:00     7   13.13    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   81.82
04:47:00     8   16.33    0.00    5.10    0.00    0.00    3.06    0.00    0.00    0.00   75.51
04:47:00     9   11.34    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   82.47
04:47:00    10   14.74    0.00    3.16    0.00    0.00    1.05    0.00    0.00    0.00   81.05
04:47:00    11   11.58    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   86.32
04:47:00    12   15.79    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   81.05
04:47:00    13   14.29    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   83.67
04:47:00    14   15.46    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   81.44
04:47:00    15   13.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   82.00
04:47:00    16   15.31    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   78.57
04:47:00    17   15.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
04:47:00    18   16.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   79.00
04:47:00    19   15.15    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   79.80
04:47:00    20   17.00    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   78.00
04:47:00    21   18.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
04:47:00    22   13.86    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   81.19
04:47:00    23   12.37    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   85.57
04:47:00    24   14.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   79.00
04:47:00    25   12.12    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   83.84
04:47:00    26   14.29    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   84.69
04:47:00    27   14.29    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   82.65
04:47:00    28    9.09    0.00    4.04    0.00    0.00   27.27    0.00    0.00    0.00   59.60
04:47:00    29   11.58    0.00    2.11    0.00    0.00    1.05    0.00    0.00    0.00   85.26
04:47:00    30   20.79    0.00    4.95    0.00    0.00    0.99    0.00    0.00    0.00   73.27
04:47:00    31   12.24    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   83.67

04:47:00   CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:47:01   all   14.27    0.00    4.98    0.00    0.00    1.65    0.00    0.00    0.00   79.10
04:47:01     0   19.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   74.00
