Linux 5.4.0-73-generic (graymob) 	04/17/2023 	_x86_64_	(32 CPU)

11:56:52   CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:56:53   all    0.73    0.00    4.37    0.00    0.00    1.61    0.00    5.54    0.00   87.73
11:56:53     0    0.00    0.00    0.00    0.00    0.00    5.10    0.00    0.00    0.00   94.90
11:56:53     1    1.00    0.00    5.00    0.00    0.00    1.00    0.00    9.00    0.00   84.00
11:56:53     2    1.01    0.00    5.05    0.00    0.00    4.04    0.00    1.01    0.00   88.89
11:56:53     3    0.00    0.00    1.98    0.00    0.00    0.00    0.00    6.93    0.00   91.09
11:56:53     4    1.04    0.00    2.08    0.00    0.00    2.08    0.00    2.08    0.00   92.71
11:56:53     5    1.00    0.00    2.00    0.00    0.00    1.00    0.00    5.00    0.00   91.00
11:56:53     6    0.00    0.00    1.02    0.00    0.00    1.02    0.00   11.22    0.00   86.73
11:56:53     7    3.06    0.00    6.12    0.00    0.00    3.06    0.00    1.02    0.00   86.73
11:56:53     8    0.00    0.00    2.04    0.00    0.00    3.06    0.00    3.06    0.00   91.84
11:56:53     9    1.01    0.00    6.06    0.00    0.00    1.01    0.00   15.15    0.00   76.77
11:56:53    10    2.08    0.00    3.12    0.00    0.00    0.00    0.00    2.08    0.00   92.71
11:56:53    11    1.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
11:56:53    12    0.00    0.00    5.00    0.00    0.00    0.00    0.00   25.00    0.00   70.00
11:56:53    13    1.03    0.00    1.03    0.00    0.00    0.00    0.00    1.03    0.00   96.91
11:56:53    14    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
11:56:53    15    0.99    0.00   10.89    0.00    0.00    3.96    0.00    4.95    0.00   79.21
11:56:53    16    1.03    0.00    5.15    0.00    0.00    0.00    0.00    6.19    0.00   87.63
11:56:53    17    1.03    0.00    0.00    0.00    0.00    0.00    0.00    2.06    0.00   96.91
11:56:53    18    1.01    0.00    4.04    0.00    0.00    6.06    0.00    2.02    0.00   86.87
11:56:53    19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.02    0.00   98.98
11:56:53    20    0.99    0.00    5.94    0.00    0.00    0.00    0.00   19.80    0.00   73.27
11:56:53    21    1.00    0.00    3.00    0.00    0.00    1.00    0.00    1.00    0.00   94.00
11:56:53    22    1.03    0.00    4.12    0.00    0.00    0.00    0.00    1.03    0.00   93.81
11:56:53    23    0.00    0.00    1.00    0.00    0.00    0.00    0.00    5.00    0.00   94.00
11:56:53    24    1.00    0.00    8.00    0.00    0.00    5.00    0.00    4.00    0.00   82.00
11:56:53    25    0.00    0.00    2.02    0.00    0.00    1.01    0.00    1.01    0.00   95.96
11:56:53    26    0.00    0.00   10.20    0.00    0.00    5.10    0.00    9.18    0.00   75.51
11:56:53    27    0.00    0.00    3.00    0.00    0.00    0.00    0.00    3.00    0.00   94.00
11:56:53    28    0.00    0.00   19.61    0.00    0.00    5.88    0.00   11.76    0.00   62.75
11:56:53    29    2.06    0.00    4.12    0.00    0.00    1.03    0.00    3.09    0.00   89.69
11:56:53    30    0.00    0.00    4.08    0.00    0.00    0.00    0.00    4.08    0.00   91.84
11:56:53    31    1.02    0.00    5.10    0.00    0.00    0.00    0.00   14.29    0.00   79.59

11:56:53   CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:56:54   all    0.89    0.00    4.38    0.00    0.00    1.40    0.00    4.98    0.00   88.25
11:56:54     0    8.16    0.00    1.02    0.00    0.00    4.08    0.00    0.00    0.00   86.73
11:56:54     1    1.94    0.00    3.88    0.00    0.00    4.85    0.00    2.91    0.00   86.41
11:56:54     2    0.00    0.00    3.06    0.00    0.00    4.08    0.00    0.00    0.00   92.86
11:56:54     3    7.00    0.00    3.00    0.00    0.00    0.00    0.00   12.00    0.00   78.00
11:56:54     4    0.00    0.00    3.00    0.00    0.00    3.00    0.00    3.00    0.00   91.00
11:56:54     5    0.00    0.00   14.00    0.00    0.00    0.00    0.00   25.00    0.00   61.00
11:56:54     6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02    0.00   97.98
11:56:54     7    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
11:56:54     8    0.00    0.00    1.03    0.00    0.00    3.09    0.00    0.00    0.00   95.88
11:56:54     9    0.00    0.00    4.17    0.00    0.00    0.00    0.00    1.04    0.00   94.79
11:56:54    10    0.00    0.00    4.08    0.00    0.00    0.00    0.00   21.43    0.00   74.49
11:56:54    11    2.06    0.00   11.34    0.00    0.00    0.00    0.00    6.19    0.00   80.41
11:56:54    12    0.00    0.00    2.00    0.00    0.00    0.00    0.00    6.00    0.00   92.00
11:56:54    13    2.06    0.00    5.15    0.00    0.00    1.03    0.00    2.06    0.00   89.69
11:56:54    14    1.03    0.00    2.06    0.00    0.00    0.00    0.00    8.25    0.00   88.66
11:56:54    15    0.00    0.00    7.29    0.00    0.00    0.00    0.00    7.29    0.00   85.42
11:56:54    16    1.98    0.00    2.97    0.00    0.00    0.99    0.00    6.93    0.00   87.13
11:56:54    17    1.01    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   93.94
11:56:54    18    1.02    0.00    2.04    0.00    0.00    4.08    0.00    4.08    0.00   88.78
11:56:54    19    2.02    0.00    6.06    0.00    0.00    1.01    0.00    3.03    0.00   87.88
11:56:54    20    1.02    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   97.96
