Linux 5.4.0-144-generic (grayfox) 	04/20/23 	_x86_64_	(32 CPU)

06:57:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:57:52     all    2.19    0.00   16.78    0.00    0.00    2.56    0.00   21.97    0.00   56.40
06:57:52       0    1.90    0.00   11.43    0.00    0.00    4.76    0.00   34.29    0.00   47.62
06:57:52       1    4.08    0.00   17.35    0.00    0.00   13.27    0.00   21.43    0.00   43.88
06:57:52       2    1.01    0.00   16.16    0.00    0.00    4.04    0.00   10.10    0.00   68.69
06:57:52       3    0.00    0.00   33.98    0.00    0.00    0.00    0.00   48.54    0.00   17.48
06:57:52       4    3.03    0.00   16.16    0.00    0.00    3.03    0.00   29.29    0.00   48.48
06:57:52       5    0.00    0.00   13.86    0.00    0.00    0.00    0.00   29.70    0.00   56.44
06:57:52       6    4.04    0.00   24.24    0.00    0.00    4.04    0.00   24.24    0.00   43.43
06:57:52       7    0.00    0.00   12.24    0.00    0.00    0.00    0.00   27.55    0.00   60.20
06:57:52       8    3.09    0.00   26.80    0.00    0.00    3.09    0.00   23.71    0.00   43.30
06:57:52       9    3.16    0.00   12.63    0.00    0.00    3.16    0.00    7.37    0.00   73.68
06:57:52      10    1.00    0.00   23.00    0.00    0.00    3.00    0.00   31.00    0.00   42.00
06:57:52      11    0.00    0.00   21.65    0.00    0.00    0.00    0.00   31.96    0.00   46.39
06:57:52      12    1.98    0.00   26.73    0.00    0.00    2.97    0.00   25.74    0.00   42.57
06:57:52      13    0.97    0.00    2.91    0.00    0.00    1.94    0.00    3.88    0.00   90.29
06:57:52      14    2.00    0.00   18.00    0.00    0.00    3.00    0.00   31.00    0.00   46.00
06:57:52      15    0.00    0.00    2.97    0.00    0.00    0.99    0.00    6.93    0.00   89.11
06:57:52      16    2.06    0.00    7.22    0.00    0.00    2.06    0.00    6.19    0.00   82.47
06:57:52      17    0.00    0.00    9.28    0.00    0.00    2.06    0.00    3.09    0.00   85.57
06:57:52      18    1.03    0.00    6.19    0.00    0.00    0.00    0.00   35.05    0.00   57.73
06:57:52      19    0.00    0.00   10.58    0.00    0.00    0.00    0.00   30.77    0.00   58.65
06:57:52      20    3.03    0.00   15.15    0.00    0.00    3.03    0.00    6.06    0.00   72.73
06:57:52      21    1.75    0.00   10.53    0.00    0.00    2.63    0.00   25.44    0.00   59.65
06:57:52      22    1.01    0.00   14.14    0.00    0.00    0.00    0.00   38.38    0.00   46.46
06:57:52      23    0.00    0.00   20.75    0.00    0.00    0.00    0.00   46.23    0.00   33.02
06:57:52      24    1.01    0.00   12.12    0.00    0.00    9.09    0.00    3.03    0.00   74.75
06:57:52      25    0.78    0.00   15.62    0.00    0.00    0.00    0.00   22.66    0.00   60.94
06:57:52      26    1.03    0.00   22.68    0.00    0.00    1.03    0.00   25.77    0.00   49.48
06:57:52      27    0.00    0.00   13.22    0.00    0.00    0.00    0.00   21.49    0.00   65.29
06:57:52      28    1.09    0.00   20.65    0.00    0.00   10.87    0.00    0.00    0.00   67.39
06:57:52      29    1.01    0.00   37.37    0.00    0.00    5.05    0.00   20.20    0.00   36.36
06:57:52      30    2.06    0.00   40.21    0.00    0.00    0.00    0.00   24.74    0.00   32.99
06:57:52      31   34.04    0.00    3.19    0.00    0.00    1.06    0.00    0.00    0.00   61.70

06:57:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:57:53     all    2.60    0.00   17.67    0.00    0.00    2.32    0.00   22.22    0.00   55.12
06:57:53       0    1.94    0.00   15.53    0.00    0.00    2.91    0.00   34.95    0.00   44.66
06:57:53       1    3.12    0.00   21.88    0.00    0.00    8.33    0.00   20.83    0.00   45.83
06:57:53       2    3.81    0.00   17.14    0.00    0.00    1.90    0.00   12.38    0.00   64.76
06:57:53       3    1.01    0.00   34.34    0.00    0.00    0.00    0.00   50.51    0.00   14.14
06:57:53       4    1.96    0.00   17.65    0.00    0.00    1.96    0.00   35.29    0.00   43.14
06:57:53       5    0.00    0.00   17.20    0.00    0.00    0.00    0.00   23.66    0.00   59.14
06:57:53       6    1.03    0.00   18.56    0.00    0.00    4.12    0.00   23.71    0.00   52.58
06:57:53       7    1.01    0.00   14.14    0.00    0.00    0.00    0.00   26.26    0.00   58.59
06:57:53       8    3.00    0.00   28.00    0.00    0.00    3.00    0.00   23.00    0.00   43.00
06:57:53       9    2.00    0.00   14.00    0.00    0.00    6.00    0.00    7.00    0.00   71.00
06:57:53      10    0.00    0.00   16.49    0.00    0.00    3.09    0.00   35.05    0.00   45.36
06:57:53      11    0.00    0.00   23.00    0.00    0.00    0.00    0.00   35.00    0.00   42.00
06:57:53      12    2.94    0.00   22.55    0.00    0.00    2.94    0.00   24.51    0.00   47.06
06:57:53      13    0.00    0.00    2.94    0.00    0.00    4.90    0.00   10.78    0.00   81.37
06:57:53      14    2.02    0.00   18.18    0.00    0.00    2.02    0.00   30.30    0.00   47.47
06:57:53      15    0.00    0.00    4.00    0.00    0.00    1.00    0.00   16.00    0.00   79.00
06:57:53      16    1.02    0.00    9.18    0.00    0.00    0.00    0.00    7.14    0.00   82.65
06:57:53      17    3.09    0.00    6.19    0.00    0.00    1.03    0.00    3.09    0.00   86.60
06:57:53      18    0.00    0.00    6.86    0.00    0.00    0.00    0.00   37.25    0.00   55.88
06:57:53      19    1.03    0.00    8.25    0.00    0.00    0.00    0.00   28.87    0.00   61.86
06:57:53      20    3.12    0.00   13.54    0.00    0.00    4.17    0.00    4.17    0.00   75.00
06:57:53      21    3.45    0.00   19.83    0.00    0.00    2.59    0.00   18.97    0.00   55.17
06:57:53      22    1.00    0.00   16.00    0.00    0.00    0.00    0.00   39.00    0.00   44.00
06:57:53      23    0.94    0.00   30.19    0.00    0.00    0.00    0.00   41.51    0.00   27.36
06:57:53      24    1.96    0.00   14.71    0.00    0.00    7.84    0.00    1.96    0.00   73.53
06:57:53      25    0.00    0.00   13.79    0.00    0.00    0.00    0.00   23.28    0.00   62.93
06:57:53      26    1.00    0.00   23.00    0.00    0.00    0.00    0.00   27.00    0.00   49.00
06:57:53      27    0.00    0.00   13.68    0.00    0.00    0.00    0.00   21.37    0.00   64.96
06:57:53      28    3.12    0.00   19.79    0.00    0.00   12.50    0.00    0.00    0.00   64.58
06:57:53      29    4.17    0.00   40.62    0.00    0.00    4.17    0.00   20.83    0.00   30.21
06:57:53      30    0.00    0.00   43.75    0.00    0.00    0.00    0.00   26.04    0.00   30.21
06:57:53      31   37.25    0.00    2.94    0.00    0.00    0.98    0.00    0.00    0.00   58.82

06:57:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:57:54     all    2.51    0.00   17.26    0.00    0.00    2.26    0.00   21.13    0.00   56.80
06:57:54       0    2.08    0.00   12.50    0.00    0.00    2.08    0.00   33.33    0.00   50.00
06:57:54       1    4.95    0.00   23.76    0.00    0.00    8.91    0.00   16.83    0.00   45.54
06:57:54       2    0.99    0.00   12.87    0.00    0.00    5.94    0.00   10.89    0.00   69.31
06:57:54       3    2.04    0.00   34.69    0.00    0.00    0.00    0.00   53.06    0.00   10.20
06:57:54       4    5.15    0.00   14.43    0.00    0.00    1.03    0.00   26.80    0.00   52.58
06:57:54       5    1.03    0.00   16.49    0.00    0.00    0.00    0.00   23.71    0.00   58.76
06:57:54       6    2.06    0.00   20.62    0.00    0.00    3.09    0.00   20.62    0.00   53.61
06:57:54       7    0.00    0.00   14.85    0.00    0.00    0.00    0.00   23.76    0.00   61.39
06:57:54       8    1.03    0.00   21.65    0.00    0.00    3.09    0.00   27.84    0.00   46.39
06:57:54       9    3.96    0.00   15.84    0.00    0.00    5.94    0.00    2.97    0.00   71.29
06:57:54      10    3.09    0.00   14.43    0.00    0.00    3.09    0.00   30.93    0.00   48.45
06:57:54      11    0.00    0.00   22.77    0.00    0.00    0.00    0.00   38.61    0.00   38.61
06:57:54      12    3.19    0.00   21.28    0.00    0.00    0.00    0.00   23.40    0.00   52.13
06:57:54      13    0.00    0.00    2.97    0.00    0.00    1.98    0.00    3.96    0.00   91.09
06:57:54      14    1.96    0.00   21.57    0.00    0.00    4.90    0.00   24.51    0.00   47.06
06:57:54      15    0.00    0.00    2.02    0.00    0.00    0.00    0.00    9.09    0.00   88.89
06:57:54      16    1.01    0.00    9.09    0.00    0.00    3.03    0.00    3.03    0.00   83.84
06:57:54      17    0.00    0.00    9.47    0.00    0.00    1.05    0.00    3.16    0.00   86.32
06:57:54      18    1.00    0.00    6.00    0.00    0.00    0.00    0.00   38.00    0.00   55.00
06:57:54      19    0.00    0.00    9.09    0.00    0.00    0.00    0.00   32.32    0.00   58.59
06:57:54      20    1.02    0.00   13.27    0.00    0.00    6.12    0.00    4.08    0.00   75.51
06:57:54      21    0.82    0.00   11.48    0.00    0.00    4.10    0.00   26.23    0.00   57.38
06:57:54      22    1.06    0.00   15.96    0.00    0.00    0.00    0.00   38.30    0.00   44.68
06:57:54      23    0.95    0.00   29.52    0.00    0.00    0.00    0.00   40.00    0.00   29.52
06:57:54      24    2.04    0.00   17.35    0.00    0.00    3.06    0.00    0.00    0.00   77.55
06:57:54      25    0.85    0.00   10.17    0.00    0.00    0.00    0.00   22.88    0.00   66.10
06:57:54      26    0.00    0.00   26.26    0.00    0.00    0.00    0.00   24.24    0.00   49.49
06:57:54      27    0.00    0.00    9.84    0.00    0.00    0.00    0.00   24.59    0.00   65.57
06:57:54      28    2.11    0.00   22.11    0.00    0.00   10.53    0.00    0.00    0.00   65.26
06:57:54      29    1.92    0.00   38.46    0.00    0.00    3.85    0.00   26.92    0.00   28.85
06:57:54      30    1.00    0.00   52.00    0.00    0.00    0.00    0.00   19.00    0.00   28.00
06:57:54      31   37.37    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   59.60

06:57:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:57:55     all    2.68    0.00   16.25    0.00    0.00    2.26    0.00   22.19    0.00   56.63
06:57:55       0    2.91    0.00   13.59    0.00    0.00    3.88    0.00   31.07    0.00   48.54
06:57:55       1    6.25    0.00   18.75    0.00    0.00    7.29    0.00   19.79    0.00   47.92
06:57:55       2    1.94    0.00   20.39    0.00    0.00    2.91    0.00    8.74    0.00   66.02
06:57:55       3    1.03    0.00   27.84    0.00    0.00    0.00    0.00   48.45    0.00   22.68
06:57:55       4    1.96    0.00   15.69    0.00    0.00    1.96    0.00   42.16    0.00   38.24
06:57:55       5    0.00    0.00   18.18    0.00    0.00    0.00    0.00   24.24    0.00   57.58
06:57:55       6    2.94    0.00   23.53    0.00    0.00    1.96    0.00   19.61    0.00   51.96
06:57:55       7    0.00    0.00   14.85    0.00    0.00    0.00    0.00   27.72    0.00   57.43
06:57:55       8    1.00    0.00   21.00    0.00    0.00    2.00    0.00   30.00    0.00   46.00
06:57:55       9    2.08    0.00   11.46    0.00    0.00    4.17    0.00    7.29    0.00   75.00
06:57:55      10    0.00    0.00   19.00    0.00    0.00    3.00    0.00   32.00    0.00   46.00
06:57:55      11    2.00    0.00   23.00    0.00    0.00    0.00    0.00   30.00    0.00   45.00
06:57:55      12    3.00    0.00   21.00    0.00    0.00    3.00    0.00   23.00    0.00   50.00
06:57:55      13    1.94    0.00    0.97    0.00    0.00    4.85    0.00    6.80    0.00   85.44
06:57:55      14    1.00    0.00   20.00    0.00    0.00    3.00    0.00   27.00    0.00   49.00
06:57:55      15    1.02    0.00    0.00    0.00    0.00    0.00    0.00   13.27    0.00   85.71
06:57:55      16    1.01    0.00    6.06    0.00    0.00    2.02    0.00    7.07    0.00   83.84
06:57:55      17    2.06    0.00    8.25    0.00    0.00    2.06    0.00    5.15    0.00   82.47
06:57:55      18    0.00    0.00    8.65    0.00    0.00    0.00    0.00   35.58    0.00   55.77
06:57:55      19    0.00    0.00    8.82    0.00    0.00    0.00    0.00   30.39    0.00   60.78
06:57:55      20    3.06    0.00   13.27    0.00    0.00    5.10    0.00    4.08    0.00   74.49
06:57:55      21    1.63    0.00   13.82    0.00    0.00    2.44    0.00   24.39    0.00   57.72
06:57:55      22    0.98    0.00   14.71    0.00    0.00    0.00    0.00   38.24    0.00   46.08
06:57:55      23    0.00    0.00   26.13    0.00    0.00    0.00    0.00   41.44    0.00   32.43
06:57:55      24    0.00    0.00   12.12    0.00    0.00    7.07    0.00    4.04    0.00   76.77
06:57:55      25    0.81    0.00   10.48    0.00    0.00    0.00    0.00   25.00    0.00   63.71
06:57:55      26    1.01    0.00   22.22    0.00    0.00    0.00    0.00   24.24    0.00   52.53
06:57:55      27    0.00    0.00   13.33    0.00    0.00    0.00    0.00   20.00    0.00   66.67
06:57:55      28    4.90    0.00   19.61    0.00    0.00   11.76    0.00    0.98    0.00   62.75
06:57:55      29    3.03    0.00   35.35    0.00    0.00    4.04    0.00   24.24    0.00   33.33
06:57:55      30    1.00    0.00   36.00    0.00    0.00    0.00    0.00   30.00    0.00   33.00
06:57:55      31   38.24    0.00    3.92    0.00    0.00    0.98    0.00    0.00    0.00   56.86

06:57:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:57:56     all    2.37    0.00   14.32    0.00    0.00    2.52    0.00   22.15    0.00   58.62
06:57:56       0    1.00    0.00   14.00    0.00    0.00    4.00    0.00   29.00    0.00   52.00
06:57:56       1    3.09    0.00   14.43    0.00    0.00   13.40    0.00   20.62    0.00   48.45
06:57:56       2    2.00    0.00   15.00    0.00    0.00    3.00    0.00    8.00    0.00   72.00
06:57:56       3    0.00    0.00   23.96    0.00    0.00    0.00    0.00   45.83    0.00   30.21
06:57:56       4    2.00    0.00   18.00    0.00    0.00    2.00    0.00   48.00    0.00   30.00
06:57:56       5    0.00    0.00   16.33    0.00    0.00    0.00    0.00   22.45    0.00   61.22
06:57:56       6    1.02    0.00   15.31    0.00    0.00    5.10    0.00   22.45    0.00   56.12
06:57:56       7    1.01    0.00   12.12    0.00    0.00    1.01    0.00   23.23    0.00   62.63
06:57:56       8    2.04    0.00   21.43    0.00    0.00    3.06    0.00   23.47    0.00   50.00
06:57:56       9    1.94    0.00   12.62    0.00    0.00    6.80    0.00    8.74    0.00   69.90
06:57:56      10    1.04    0.00   15.62    0.00    0.00    3.12    0.00   31.25    0.00   48.96
06:57:56      11    1.03    0.00   18.56    0.00    0.00    0.00    0.00   29.90    0.00   50.52
06:57:56      12    3.06    0.00   22.45    0.00    0.00    3.06    0.00   17.35    0.00   54.08
06:57:56      13    0.97    0.00    4.85    0.00    0.00    2.91    0.00    3.88    0.00   87.38
