Linux 5.4.0-144-generic (grayfox) 	04/09/23 	_x86_64_	(32 CPU)

03:58:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:58:48     all    0.78    0.00    9.70    0.00    0.00    1.00    0.00    7.66    0.00   80.83
03:58:48       0    0.00    0.00    1.00    0.00    0.00    3.00    0.00    1.00    0.00   95.00
03:58:48       1    3.74    0.00   15.89    0.00    0.00    5.61    0.00    9.35    0.00   65.42
03:58:48       2    0.98    0.00   14.71    0.00    0.00    1.96    0.00   21.57    0.00   60.78
03:58:48       3    0.00    0.00   43.00    0.00    0.00    0.00    0.00   39.00    0.00   18.00
03:58:48       4    1.05    0.00    8.42    0.00    0.00    4.21    0.00    9.47    0.00   76.84
03:58:48       5    0.00    0.00   26.73    0.00    0.00    0.00    0.00   20.79    0.00   52.48
03:58:48       6    1.01    0.00    3.03    0.00    0.00    7.07    0.00    1.01    0.00   87.88
03:58:48       7    0.00    0.00    2.97    0.00    0.00    0.00    0.00    5.94    0.00   91.09
03:58:48       8    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03:58:48       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      10    2.11    0.00   34.74    0.00    0.00    1.05    0.00   34.74    0.00   27.37
03:58:48      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      12    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
03:58:48      13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:58:48      14    1.04    0.00   13.54    0.00    0.00    2.08    0.00    3.12    0.00   80.21
03:58:48      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      16    1.00    0.00   30.00    0.00    0.00    0.00    0.00   35.00    0.00   34.00
03:58:48      17    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:58:48      18    2.02    0.00   10.10    0.00    0.00    1.01    0.00    2.02    0.00   84.85
03:58:48      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      20    0.98    0.00   32.35    0.00    0.00    0.00    0.00   24.51    0.00   42.16
03:58:48      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      22    4.21    0.00   15.79    0.00    0.00    3.16    0.00    2.11    0.00   74.74
03:58:48      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      24    2.00    0.00   42.00    0.00    0.00    0.00    0.00   35.00    0.00   21.00
03:58:48      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      26    1.01    0.00   10.10    0.00    0.00    2.02    0.00    0.00    0.00   86.87
03:58:48      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:48      31    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00

03:58:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:58:49     all    0.69    0.00    8.91    0.00    0.00    1.32    0.00    7.40    0.00   81.68
03:58:49       0    1.00    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   94.00
03:58:49       1    0.97    0.00   16.50    0.00    0.00    3.88    0.00   11.65    0.00   66.99
03:58:49       2    2.78    0.00   11.11    0.00    0.00    6.48    0.00   18.52    0.00   61.11
03:58:49       3    1.04    0.00   42.71    0.00    0.00    0.00    0.00   39.58    0.00   16.67
03:58:49       4    1.00    0.00    9.00    0.00    0.00    5.00    0.00    9.00    0.00   76.00
03:58:49       5    1.00    0.00   32.00    0.00    0.00    0.00    0.00   21.00    0.00   46.00
03:58:49       6    1.00    0.00    3.00    0.00    0.00    6.00    0.00    0.00    0.00   90.00
03:58:49       7    0.93    0.00    4.67    0.00    0.00    0.00    0.00    6.54    0.00   87.85
03:58:49       8    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
03:58:49       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:49      10    2.11    0.00   27.37    0.00    0.00    5.26    0.00   34.74    0.00   30.53
03:58:49      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:49      12    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:58:49      13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
03:58:49      14    2.00    0.00   13.00    0.00    0.00    5.00    0.00    3.00    0.00   77.00
03:58:49      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:49      16    0.00    0.00   30.93    0.00    0.00    0.00    0.00   32.99    0.00   36.08
03:58:49      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:49      18    0.00    0.00    9.80    0.00    0.00    0.98    0.00    3.92    0.00   85.29
03:58:49      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:49      20    1.05    0.00   23.16    0.00    0.00    0.00    0.00   24.21    0.00   51.58
