Linux 5.4.0-144-generic (grayfox) 	04/15/23 	_x86_64_	(32 CPU)

15:13:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:13:50     all    1.67    0.00   18.77    0.00    0.00    2.46    0.00   16.30    0.00   60.76
15:13:50       0    0.00    0.00   16.50    0.00    0.00    8.74    0.00    9.71    0.00   65.05
15:13:50       1    0.97    0.00   11.65    0.00    0.00    4.85    0.00    7.77    0.00   74.76
15:13:50       2    0.00    0.00   13.46    0.00    0.00    6.73    0.00   15.38    0.00   64.42
15:13:50       3    1.00    0.00   14.00    0.00    0.00    4.00    0.00   11.00    0.00   70.00
15:13:50       4    4.00    0.00   20.00    0.00    0.00    3.00    0.00    9.00    0.00   64.00
15:13:50       5    1.94    0.00   17.48    0.00    0.00    1.94    0.00   23.30    0.00   55.34
15:13:50       6    4.21    0.00   15.79    0.00    0.00    2.11    0.00    9.47    0.00   68.42
15:13:50       7    1.02    0.00   23.47    0.00    0.00    2.04    0.00   20.41    0.00   53.06
15:13:50       8    1.05    0.00   17.89    0.00    0.00    1.05    0.00   12.63    0.00   67.37
15:13:50       9    2.02    0.00   17.17    0.00    0.00    4.04    0.00   22.22    0.00   54.55
15:13:50      10    0.99    0.00   18.81    0.00    0.00    3.96    0.00   12.87    0.00   63.37
15:13:50      11    0.00    0.00   21.21    0.00    0.00    2.02    0.00   22.22    0.00   54.55
15:13:50      12    3.00    0.00   13.00    0.00    0.00    3.00    0.00   11.00    0.00   70.00
15:13:50      13    1.00    0.00   18.00    0.00    0.00    3.00    0.00    9.00    0.00   69.00
15:13:50      14    1.02    0.00   14.29    0.00    0.00    2.04    0.00   11.22    0.00   71.43
15:13:50      15    1.03    0.00   22.68    0.00    0.00    1.03    0.00   25.77    0.00   49.48
15:13:50      16    2.00    0.00   35.00    0.00    0.00    0.00    0.00   37.00    0.00   26.00
15:13:50      17    0.00    0.00   31.31    0.00    0.00    1.01    0.00   41.41    0.00   26.26
15:13:50      18    1.02    0.00   25.51    0.00    0.00    1.02    0.00   19.39    0.00   53.06
15:13:50      19    2.04    0.00   14.29    0.00    0.00    2.04    0.00   15.31    0.00   66.33
15:13:50      20    0.99    0.00   23.76    0.00    0.00    0.00    0.00    7.92    0.00   67.33
