Linux 5.4.0-144-generic (grayfox) 	04/15/23 	_x86_64_	(32 CPU)

18:34:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:34:10     all    2.16    0.00    4.51    0.03    0.00    0.91    0.00    4.26    0.00   88.10
18:34:10       0    0.93    0.00    2.80    0.00    0.00   10.28    0.00    0.93    0.00   85.05
18:34:10       1    0.98    0.00    0.98    0.00    0.00    2.94    0.00    1.96    0.00   93.14
18:34:10       2    0.00    0.00    4.04    0.00    0.00    0.00    0.00    6.06    0.00   89.90
18:34:10       3    0.00    0.00    6.12    0.00    0.00    0.00    0.00    9.18    0.00   84.69
18:34:10       4    1.01    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   93.94
18:34:10       5    0.00    0.00    4.95    0.00    0.00    0.99    0.00    3.96    0.00   90.10
18:34:10       6    1.01    0.00    5.05    0.00    0.00    0.00    0.00    5.05    0.00   88.89
18:34:10       7    1.01    0.00    7.07    0.00    0.00    1.01    0.00   12.12    0.00   78.79
18:34:10       8    0.00    0.00    7.22    0.00    0.00    1.03    0.00    8.25    0.00   83.51
18:34:10       9    0.00    0.00    4.95    0.00    0.00    0.00    0.00    9.90    0.00   85.15
18:34:10      10   14.58    0.00    5.21    0.00    0.00    1.04    0.00    2.08    0.00   77.08
18:34:10      11    0.99    0.00    4.95    0.00    0.00    0.00    0.00    9.90    0.00   84.16
18:34:10      12    8.00    0.00    3.00    0.00    0.00    1.00    0.00    1.00    0.00   87.00
18:34:10      13    1.02    0.00    6.12    0.00    0.00    0.00    0.00    5.10    0.00   87.76
18:34:10      14    0.99    0.00    5.94    0.00    0.00    0.00    0.00    1.98    0.00   91.09
18:34:10      15    0.00    0.00    6.93    0.00    0.00    0.99    0.00    7.92    0.00   84.16
18:34:10      16    9.90    0.00    2.97    0.00    0.00    0.00    0.00    3.96    0.00   83.17
18:34:10      17    1.01    0.00    5.05    0.00    0.00    1.01    0.00    1.01    0.00   91.92
18:34:10      18    1.00    0.00    4.00    0.00    0.00    1.00    0.00    1.00    0.00   93.00
18:34:10      19    1.01    0.00    4.04    0.00    0.00    0.00    0.00    2.02    0.00   92.93
18:34:10      20    1.00    0.00    4.00    0.00    0.00    0.00    0.00    6.00    0.00   89.00
18:34:10      21    0.00    0.00    2.00    0.00    0.00    0.00    0.00    4.00    0.00   94.00
18:34:10      22    9.90    0.00    3.96    0.00    0.00    0.99    0.00    2.97    0.00   82.18
18:34:10      23    0.00    0.00    3.03    0.00    0.00    1.01    0.00    1.01    0.00   94.95
18:34:10      24    0.00    0.00    3.00    0.00    0.00    0.00    0.00    5.00    0.00   92.00
18:34:10      25    1.01    0.00    3.03    0.00    0.00    0.00    0.00    1.01    0.00   94.95
18:34:10      26    0.00    0.00    5.05    0.00    0.00    1.01    0.00    1.01    0.00   92.93
18:34:10      27    0.98    0.00    4.90    0.00    0.00    0.98    0.00    5.88    0.00   87.25
18:34:10      28    9.90    0.00    4.95    0.00    0.00    0.00    0.00    2.97    0.00   82.18
18:34:10      29    0.00    0.00    2.04    0.00    0.00    1.02    0.00    2.04    0.00   94.90
18:34:10      30    0.00    0.00   12.50    0.00    0.00    0.00    0.00   11.46    0.00   76.04
18:34:10      31    4.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   93.00

18:34:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:34:11     all    1.56    0.00    4.45    0.00    0.00    0.54    0.00    3.78    0.00   89.68
18:34:11       0    1.98    0.00    2.97    0.00    0.00    2.97    0.00    3.96    0.00   88.12
18:34:11       1    3.00    0.00    2.00    0.00    0.00    5.00    0.00    1.00    0.00   89.00
18:34:11       2    1.04    0.00    4.17    0.00    0.00    0.00    0.00    1.04    0.00   93.75
18:34:11       3    1.03    0.00    3.09    0.00    0.00    0.00    0.00    3.09    0.00   92.78
18:34:11       4    2.04    0.00    3.06    0.00    0.00    0.00    0.00    1.02    0.00   93.88
18:34:11       5    3.96    0.00    4.95    0.00    0.00    0.99    0.00    0.99    0.00   89.11
18:34:11       6    0.00    0.00    3.06    0.00    0.00    2.04    0.00    2.04    0.00   92.86
18:34:11       7    1.03    0.00    1.03    0.00    0.00    0.00    0.00    2.06    0.00   95.88
18:34:11       8    1.02    0.00    3.06    0.00    0.00    0.00    0.00    4.08    0.00   91.84
18:34:11       9    1.98    0.00    5.94    0.00    0.00    0.00    0.00    3.96    0.00   88.12
18:34:11      10    2.06    0.00    7.22    0.00    0.00    0.00    0.00    4.12    0.00   86.60
18:34:11      11    4.04    0.00    3.03    0.00    0.00    0.00    0.00    5.05    0.00   87.88
18:34:11      12    3.00    0.00    8.00    0.00    0.00    0.00    0.00    9.00    0.00   80.00
18:34:11      13    0.00    0.00    3.03    0.00    0.00    0.00    0.00    5.05    0.00   91.92
18:34:11      14    0.00    0.00    8.91    0.00    0.00    0.00    0.00    3.96    0.00   87.13
18:34:11      15    1.01    0.00    5.05    0.00    0.00    1.01    0.00    3.03    0.00   89.90
18:34:11      16    0.00    0.00    4.04    0.00    0.00    0.00    0.00    4.04    0.00   91.92
18:34:11      17    1.02    0.00    7.14    0.00    0.00    1.02    0.00    6.12    0.00   84.69
18:34:11      18    0.99    0.00    3.96    0.00    0.00    0.00    0.00    1.98    0.00   93.07
18:34:11      19    1.05    0.00    3.16    0.00    0.00    0.00    0.00    1.05    0.00   94.74
18:34:11      20    0.00    0.00    2.02    0.00    0.00    0.00    0.00    2.02    0.00   95.96
18:34:11      21    1.03    0.00    8.25    0.00    0.00    1.03    0.00    7.22    0.00   82.47
18:34:11      22    3.03    0.00    3.03    0.00    0.00    1.01    0.00    2.02    0.00   90.91
18:34:11      23    3.09    0.00    5.15    0.00    0.00    0.00    0.00    3.09    0.00   88.66
18:34:11      24    1.03    0.00    1.03    0.00    0.00    0.00    0.00    2.06    0.00   95.88
18:34:11      25    2.08    0.00    6.25    0.00    0.00    0.00    0.00    9.38    0.00   82.29
18:34:11      26    4.00    0.00    6.00    0.00    0.00    0.00    0.00    2.00    0.00   88.00
18:34:11      27    1.03    0.00    5.15    0.00    0.00    0.00    0.00    8.25    0.00   85.57
18:34:11      28    1.02    0.00    5.10    0.00    0.00    0.00    0.00    2.04    0.00   91.84
18:34:11      29    0.00    0.00    7.14    0.00    0.00    0.00    0.00   13.27    0.00   79.59
18:34:11      30    1.03    0.00    4.12    0.00    0.00    0.00    0.00    3.09    0.00   91.75
18:34:11      31    2.04    0.00    2.04    0.00    0.00    2.04    0.00    0.00    0.00   93.88

18:34:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:34:12     all    2.02    0.00    4.23    0.00    0.00    0.98    0.00    3.88    0.00   88.89
18:34:12       0    0.97    0.00    9.71    0.00    0.00    8.74    0.00    3.88    0.00   76.70
18:34:12       1    2.78    0.00    1.85    0.00    0.00    8.33    0.00    2.78    0.00   84.26
18:34:12       2    1.01    0.00    2.02    0.00    0.00    2.02    0.00    5.05    0.00   89.90
18:34:12       3    2.04    0.00    4.08    0.00    0.00    1.02    0.00    2.04    0.00   90.82
18:34:12       4    1.00    0.00    7.00    0.00    0.00    2.00    0.00    6.00    0.00   84.00
18:34:12       5    4.00    0.00    5.00    0.00    0.00    0.00    0.00    9.00    0.00   82.00
18:34:12       6    1.00    0.00    5.00    0.00    0.00    0.00    0.00   10.00    0.00   84.00
18:34:12       7    2.02    0.00    2.02    0.00    0.00    1.01    0.00    1.01    0.00   93.94
18:34:12       8    1.01    0.00    4.04    0.00    0.00    2.02    0.00    4.04    0.00   88.89
18:34:12       9    6.12    0.00    3.06    0.00    0.00    0.00    0.00    1.02    0.00   89.80
18:34:12      10    1.01    0.00    5.05    0.00    0.00    0.00    0.00    5.05    0.00   88.89
18:34:12      11    2.06    0.00    4.12    0.00    0.00    0.00    0.00    1.03    0.00   92.78
18:34:12      12    0.00    0.00    2.02    0.00    0.00    0.00    0.00    3.03    0.00   94.95
18:34:12      13    2.04    0.00    1.02    0.00    0.00    0.00    0.00    5.10    0.00   91.84
18:34:12      14    1.00    0.00    3.00    0.00    0.00    0.00    0.00    5.00    0.00   91.00
18:34:12      15    2.04    0.00    3.06    0.00    0.00    1.02    0.00    2.04    0.00   91.84
18:34:12      16    1.00    0.00    4.00    0.00    0.00    0.00    0.00    5.00    0.00   90.00
18:34:12      17    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
18:34:12      18    1.05    0.00    1.05    0.00    0.00    0.00    0.00    1.05    0.00   96.84
18:34:12      19    2.04    0.00    1.02    0.00    0.00    0.00    0.00    2.04    0.00   94.90
18:34:12      20    0.00    0.00    6.25    0.00    0.00    1.04    0.00    4.17    0.00   88.54
18:34:12      21    2.06    0.00    1.03    0.00    0.00    0.00    0.00    3.09    0.00   93.81
18:34:12      22    2.06    0.00    6.19    0.00    0.00    0.00    0.00    8.25    0.00   83.51
18:34:12      23    2.04    0.00    1.02    0.00    0.00    0.00    0.00    1.02    0.00   95.92
18:34:12      24    0.99    0.00    8.91    0.00    0.00    0.00    0.00    7.92    0.00   82.18
18:34:12      25    2.02    0.00    5.05    0.00    0.00    0.00    0.00    8.08    0.00   84.85
18:34:12      26    0.00    0.00    8.16    0.00    0.00    0.00    0.00    1.02    0.00   90.82
18:34:12      27    2.00    0.00    1.00    0.00    0.00    1.00    0.00    1.00    0.00   95.00
18:34:12      28    1.02    0.00   15.31    0.00    0.00    0.00    0.00    8.16    0.00   75.51
18:34:12      29    8.16    0.00    4.08    0.00    0.00    0.00    0.00    2.04    0.00   85.71
18:34:12      30    1.02    0.00    4.08    0.00    0.00    1.02    0.00    4.08    0.00   89.80
18:34:12      31    6.86    0.00    2.94    0.00    0.00    0.98    0.00    0.98    0.00   88.24

18:34:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:34:13     all    0.19    0.00    3.43    0.00    0.00    0.66    0.00    3.27    0.00   92.32
18:34:13       0    0.00    0.00    0.97    0.00    0.00    5.83    0.00    1.94    0.00   91.26
18:34:13       1    0.00    0.00    5.00    0.00    0.00    2.00    0.00    4.00    0.00   89.00
18:34:13       2    0.00    0.00    9.00    0.00    0.00    1.00    0.00    7.00    0.00   83.00
18:34:13       3    1.00    0.00    2.00    0.00    0.00    0.00    0.00    6.00    0.00   91.00
18:34:13       4    1.02    0.00    1.02    0.00    0.00    0.00    0.00    1.02    0.00   96.94
18:34:13       5    0.00    0.00    1.01    0.00    0.00    0.00    0.00    3.03    0.00   95.96
18:34:13       6    0.00    0.00    6.00    0.00    0.00    0.00    0.00    3.00    0.00   91.00
18:34:13       7    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
18:34:13       8    1.01    0.00    3.03    0.00    0.00    1.01    0.00    4.04    0.00   90.91
18:34:13       9    0.00    0.00    3.96    0.00    0.00    0.00    0.00    5.94    0.00   90.10
18:34:13      10    0.98    0.00    4.90    0.00    0.00    1.96    0.00    1.96    0.00   90.20
18:34:13      11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    3.00    0.00   96.00
18:34:13      12    0.00    0.00    8.08    0.00    0.00    0.00    0.00    5.05    0.00   86.87
18:34:13      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.02    0.00   98.98
18:34:13      14    0.00    0.00   11.76    0.00    0.00    1.96    0.00    5.88    0.00   80.39
18:34:13      15    1.01    0.00    1.01    0.00    0.00    0.00    0.00    1.01    0.00   96.97
18:34:13      16    1.00    0.00    3.00    0.00    0.00    1.00    0.00    3.00    0.00   92.00
18:34:13      17    0.00    0.00    1.98    0.00    0.00    0.00    0.00    2.97    0.00   95.05
18:34:13      18    0.97    0.00    6.80    0.00    0.00    0.97    0.00    2.91    0.00   88.35
18:34:13      19    0.00    0.00    3.00    0.00    0.00    0.00    0.00    2.00    0.00   95.00
18:34:13      20    1.00    0.00    4.00    0.00    0.00    0.00    0.00    4.00    0.00   91.00
18:34:13      21    0.00    0.00    3.06    0.00    0.00    0.00    0.00    1.02    0.00   95.92
18:34:13      22    0.00    0.00    3.06    0.00    0.00    1.02    0.00    2.04    0.00   93.88
18:34:13      23    0.00    0.00    5.15    0.00    0.00    1.03    0.00    6.19    0.00   87.63
18:34:13      24    1.01    0.00    2.02    0.00    0.00    0.00    0.00    2.02    0.00   94.95
18:34:13      25    0.00    0.00    1.04    0.00    0.00    0.00    0.00    3.12    0.00   95.83
18:34:13      26    0.00    0.00    1.02    0.00    0.00    1.02    0.00    1.02    0.00   96.94
18:34:13      27    0.00    0.00    2.04    0.00    0.00    0.00    0.00    5.10    0.00   92.86
18:34:13      28    0.00    0.00    3.09    0.00    0.00    1.03    0.00    5.15    0.00   90.72
18:34:13      29    0.00    0.00    4.17    0.00    0.00    0.00    0.00    5.21    0.00   90.62
18:34:13      30    0.00    0.00    5.00    0.00    0.00    0.00    0.00    5.00    0.00   90.00
18:34:13      31    0.00    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   96.97

18:34:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:34:14     all    2.09    0.00    4.18    0.00    0.00    0.41    0.00    3.42    0.00   89.89
18:34:14       0    2.04    0.00    7.14    0.00    0.00    3.06    0.00    2.04    0.00   85.71
18:34:14       1    0.00    0.00   13.13    0.00    0.00    2.02    0.00   14.14    0.00   70.71
18:34:14       2    2.00    0.00    4.00    0.00    0.00    2.00    0.00    1.00    0.00   91.00
18:34:14       3    0.00    0.00    3.06    0.00    0.00    0.00    0.00    2.04    0.00   94.90
18:34:14       4    0.00    0.00   10.20    0.00    0.00    1.02    0.00    6.12    0.00   82.65
