Linux 5.4.0-131-generic (grayfox) 	11/12/22 	_x86_64_	(32 CPU)

04:50:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:50:55     all    4.57    0.00   17.32    0.03    0.00    2.29    0.00   28.88    0.00   46.90
04:50:55       0    5.10    0.00   13.27    0.00    0.00    2.04    0.00   27.55    0.00   52.04
04:50:55       1    3.00    0.00   20.00    0.00    0.00    3.00    0.00   32.00    0.00   42.00
04:50:55       2    2.97    0.00   15.84    0.00    0.00    2.97    0.00   29.70    0.00   48.51
04:50:55       3    4.17    0.00   20.83    0.00    0.00    1.04    0.00   32.29    0.00   41.67
04:50:55       4    5.94    0.00   15.84    0.00    0.00    1.98    0.00   28.71    0.00   47.52
04:50:55       5    4.90    0.00   15.69    0.00    0.00    1.96    0.00   31.37    0.00   46.08
04:50:55       6    4.08    0.00   14.29    0.00    0.00    2.04    0.00   28.57    0.00   51.02
04:50:55       7    6.06    0.00   20.20    0.00    0.00    2.02    0.00   27.27    0.00   44.44
04:50:55       8    4.00    0.00   18.00    0.00    0.00    1.00    0.00   30.00    0.00   47.00
04:50:55       9    6.06    0.00   17.17    0.00    0.00    4.04    0.00   25.25    0.00   47.47
04:50:55      10    5.05    0.00   13.13    0.00    0.00    1.01    0.00   28.28    0.00   52.53
04:50:55      11    5.71    0.00   20.00    0.95    0.00    2.86    0.00   27.62    0.00   42.86
04:50:55      12    4.76    0.00   18.10    0.00    0.00    1.90    0.00   24.76    0.00   50.48
04:50:55      13    2.06    0.00   19.59    0.00    0.00    3.09    0.00   30.93    0.00   44.33
04:50:55      14    3.92    0.00   17.65    0.00    0.00    1.96    0.00   27.45    0.00   49.02
04:50:55      15    4.04    0.00   22.22    0.00    0.00    4.04    0.00   26.26    0.00   43.43
04:50:55      16    1.96    0.00   15.69    0.00    0.00    1.96    0.00   27.45    0.00   52.94
04:50:55      17    4.04    0.00   19.19    0.00    0.00    5.05    0.00   28.28    0.00   43.43
04:50:55      18    3.00    0.00   15.00    0.00    0.00    1.00    0.00   32.00    0.00   49.00
04:50:55      19    2.02    0.00   21.21    0.00    0.00    2.02    0.00   32.32    0.00   42.42
04:50:55      20    7.07    0.00   12.12    0.00    0.00    2.02    0.00   23.23    0.00   55.56
04:50:55      21    1.02    0.00   16.33    0.00    0.00    2.04    0.00   38.78    0.00   41.84
04:50:55      22    3.00    0.00   14.00    0.00    0.00    2.00    0.00   22.00    0.00   59.00
04:50:55      23    2.02    0.00   23.23    0.00    0.00    4.04    0.00   28.28    0.00   42.42
04:50:55      24    5.05    0.00   12.12    0.00    0.00    2.02    0.00   25.25    0.00   55.56
04:50:55      25    5.00    0.00   23.00    0.00    0.00    1.00    0.00   30.00    0.00   41.00
04:50:55      26    2.94    0.00   14.71    0.00    0.00    1.96    0.00   22.55    0.00   57.84
04:50:55      27    4.12    0.00   23.71    0.00    0.00    1.03    0.00   27.84    0.00   43.30
04:50:55      28    3.85    0.00   13.46    0.00    0.00    2.88    0.00   30.77    0.00   49.04
04:50:55      29    3.16    0.00   25.26    0.00    0.00    1.05    0.00   34.74    0.00   35.79
04:50:55      30    4.12    0.00   10.31    0.00    0.00    1.03    0.00   39.18    0.00   45.36
04:50:55      31   21.78    0.00   13.86    0.00    0.00    4.95    0.00   24.75    0.00   34.65

04:50:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:50:56     all    2.59    0.00   17.80    0.00    0.00    2.46    0.00   29.55    0.00   47.60
04:50:56       0    2.02    0.00   18.18    0.00    0.00    1.01    0.00   24.24    0.00   54.55
04:50:56       1    3.88    0.00   15.53    0.00    0.00    2.91    0.00   35.92    0.00   41.75
04:50:56       2    1.01    0.00   18.18    0.00    0.00    2.02    0.00   26.26    0.00   52.53
04:50:56       3    0.00    0.00   17.82    0.00    0.00    2.97    0.00   28.71    0.00   50.50
04:50:56       4    1.94    0.00   19.42    0.00    0.00    1.94    0.00   37.86    0.00   38.83
04:50:56       5    2.00    0.00   19.00    0.00    0.00    3.00    0.00   25.00    0.00   51.00
04:50:56       6    0.98    0.00   17.65    0.00    0.00    1.96    0.00   32.35    0.00   47.06
04:50:56       7    3.06    0.00   19.39    0.00    0.00    3.06    0.00   28.57    0.00   45.92
04:50:56       8    1.03    0.00   14.43    0.00    0.00    1.03    0.00   35.05    0.00   48.45
04:50:56       9    3.06    0.00   14.29    0.00    0.00    2.04    0.00   34.69    0.00   45.92
04:50:56      10    1.00    0.00   14.00    0.00    0.00    2.00    0.00   37.00    0.00   46.00
04:50:56      11    2.91    0.00   21.36    0.00    0.00    2.91    0.00   22.33    0.00   50.49
04:50:56      12    0.00    0.00   20.62    0.00    0.00    2.06    0.00   22.68    0.00   54.64
04:50:56      13    3.74    0.00   22.43    0.00    0.00    3.74    0.00   27.10    0.00   42.99
04:50:56      14    1.02    0.00   15.31    0.00    0.00    2.04    0.00   25.51    0.00   56.12
04:50:56      15    1.94    0.00   25.24    0.00    0.00    1.94    0.00   30.10    0.00   40.78
04:50:56      16    2.00    0.00   20.00    0.00    0.00    1.00    0.00   31.00    0.00   46.00
04:50:56      17    1.92    0.00   20.19    0.00    0.00    2.88    0.00   26.92    0.00   48.08
04:50:56      18    0.98    0.00   19.61    0.00    0.00    3.92    0.00   29.41    0.00   46.08
04:50:56      19    2.83    0.00   19.81    0.00    0.00    2.83    0.00   34.91    0.00   39.62
04:50:56      20    3.06    0.00   14.29    0.00    0.00    3.06    0.00   29.59    0.00   50.00
