Linux 5.4.0-126-generic (grayfox) 	10/23/22 	_x86_64_	(32 CPU)

00:43:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:43:33     all    2.53    0.00   12.19    0.00    0.00    2.66    0.00   19.57    0.00   62.99
00:43:33       0    0.00    0.00    4.92    0.00    0.00   18.03    0.00   13.11    0.00   63.93
00:43:33       1    5.38    0.00   22.58    0.00    0.00   10.75    0.00   17.20    0.00   44.09
00:43:33       2    1.98    0.00   10.89    0.00    0.00    0.99    0.00    7.92    0.00   78.22
00:43:33       3    2.04    0.00   24.49    0.00    0.00    0.00    0.00   53.06    0.00   20.41
00:43:33       4    0.00    0.00    6.32    0.00    0.00    2.11    0.00    7.37    0.00   84.21
00:43:33       5    0.00    0.00   13.86    0.00    0.00    0.00    0.00   29.70    0.00   56.44
00:43:33       6    3.06    0.00    7.14    0.00    0.00    2.04    0.00    7.14    0.00   80.61
00:43:33       7    1.01    0.00   10.10    0.00    0.00    0.00    0.00   24.24    0.00   64.65
00:43:33       8    0.00    0.00   15.84    0.00    0.00    1.98    0.00   10.89    0.00   71.29
00:43:33       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:33      10    0.00    0.00   12.24    0.00    0.00    2.04    0.00    9.18    0.00   76.53
00:43:33      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:33      12    1.04    0.00   12.50    0.00    0.00    0.00    0.00   27.08    0.00   59.38
00:43:33      13    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
00:43:33      14    1.01    0.00   10.10    0.00    0.00    2.02    0.00   27.27    0.00   59.60
00:43:33      15    0.98    0.00    3.92    0.00    0.00    0.98    0.00    0.00    0.00   94.12
00:43:33      16    1.94    0.00    9.71    0.00    0.00    0.97    0.00   30.10    0.00   57.28
00:43:33      17    1.01    0.00   18.18    0.00    0.00    2.02    0.00   28.28    0.00   50.51
00:43:33      18    3.96    0.00   33.66    0.00    0.00    6.93    0.00   43.56    0.00   11.88
00:43:33      19    2.00    0.00   16.00    0.00    0.00    2.00    0.00   30.00    0.00   50.00
00:43:33      20    2.00    0.00   14.00    0.00    0.00    3.00    0.00   23.00    0.00   58.00
00:43:33      21    1.94    0.00    8.74    0.00    0.00    1.94    0.00   46.60    0.00   40.78
00:43:33      22    3.00    0.00   18.00    0.00    0.00    3.00    0.00   55.00    0.00   21.00
00:43:33      23    6.19    0.00   21.65    0.00    0.00    7.22    0.00    0.00    0.00   64.95
00:43:33      24    1.04    0.00   13.54    0.00    0.00    2.08    0.00   15.62    0.00   67.71
00:43:33      25    3.00    0.00   32.00    0.00    0.00    0.00    0.00   35.00    0.00   30.00
00:43:33      26    0.98    0.00   12.75    0.00    0.00    2.94    0.00   28.43    0.00   54.90
00:43:33      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:33      28    4.17    0.00   21.88    0.00    0.00    5.21    0.00   36.46    0.00   32.29
00:43:33      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:33      30    1.98    0.00   12.87    0.00    0.00    1.98    0.00   19.80    0.00   63.37
00:43:33      31   33.66    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00   61.39

00:43:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:43:34     all    2.53    0.00   15.80    0.00    0.00    2.65    0.00   23.74    0.00   55.28
00:43:34       0    0.95    0.00    5.71    0.00    0.00    4.76    0.00   53.33    0.00   35.24
00:43:34       1    6.12    0.00   26.53    0.00    0.00   16.33    0.00   24.49    0.00   26.53
00:43:34       2    2.02    0.00   14.14    0.00    0.00    5.05    0.00    5.05    0.00   73.74
00:43:34       3    2.06    0.00   35.05    0.00    0.00    0.00    0.00   59.79    0.00    3.09
00:43:34       4    1.01    0.00   10.10    0.00    0.00    2.02    0.00   10.10    0.00   76.77
00:43:34       5    0.98    0.00   21.57    0.00    0.00    0.00    0.00   33.33    0.00   44.12
00:43:34       6    2.02    0.00    9.09    0.00    0.00    2.02    0.00   10.10    0.00   76.77
00:43:34       7    0.00    0.00   14.43    0.00    0.00    0.00    0.00   29.90    0.00   55.67
00:43:34       8    2.15    0.00   13.98    0.00    0.00    1.08    0.00   11.83    0.00   70.97
00:43:34       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:34      10    1.90    0.00   15.24    0.00    0.00    0.95    0.00   14.29    0.00   67.62
00:43:34      11    0.00    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   98.02
00:43:34      12    0.99    0.00   10.89    0.00    0.00    1.98    0.00   20.79    0.00   65.35
00:43:34      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:34      14    0.00    0.00   15.53    0.00    0.00    0.97    0.00   38.83    0.00   44.66
00:43:34      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:34      16    0.00    0.00   10.20    0.00    0.00    2.04    0.00   41.84    0.00   45.92
00:43:34      17    1.94    0.00   23.30    0.00    0.00    2.91    0.00   34.95    0.00   36.89
00:43:34      18    3.06    0.00   33.67    0.00    0.00   11.22    0.00   52.04    0.00    0.00
00:43:34      19    0.00    0.00   26.42    0.00    0.00    1.89    0.00   35.85    0.00   35.85
00:43:34      20    1.02    0.00   16.33    0.00    0.00    2.04    0.00   31.63    0.00   48.98
00:43:34      21    0.00    0.00    7.29    0.00    0.00    1.04    0.00   35.42    0.00   56.25
00:43:34      22    3.00    0.00   28.00    0.00    0.00    6.00    0.00   59.00    0.00    4.00
00:43:34      23    7.45    0.00   24.47    0.00    0.00   11.70    0.00    2.13    0.00   54.26
00:43:34      24    2.06    0.00   18.56    0.00    0.00    0.00    0.00   18.56    0.00   60.82
00:43:34      25    3.00    0.00   50.00    0.00    0.00    0.00    0.00   38.00    0.00    9.00
00:43:34      26    1.96    0.00   18.63    0.00    0.00    2.94    0.00   32.35    0.00   44.12
00:43:34      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:34      28    0.00    0.00   31.37    0.00    0.00    3.92    0.00   43.14    0.00   21.57
00:43:34      29    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
00:43:34      30    1.85    0.00   20.37    0.00    0.00    2.78    0.00   20.37    0.00   54.63
00:43:34      31   34.95    0.00    2.91    0.00    0.00    0.00    0.00    0.00    0.00   62.14

00:43:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:43:35     all    2.39    0.00   14.77    0.00    0.00    2.79    0.00   22.78    0.00   57.20
00:43:35       0    0.90    0.00    0.90    0.00    0.00   10.81    0.00   27.93    0.00   59.46
00:43:35       1    8.82    0.00   25.49    0.00    0.00   15.69    0.00   24.51    0.00   25.49
00:43:35       2    2.11    0.00    5.26    0.00    0.00    3.16    0.00   10.53    0.00   78.95
00:43:35       3    1.04    0.00   29.17    0.00    0.00    0.00    0.00   65.62    0.00    4.17
00:43:35       4    0.98    0.00   12.75    0.00    0.00    1.96    0.00    8.82    0.00   75.49
00:43:35       5    0.00    0.00   18.00    0.00    0.00    0.00    0.00   36.00    0.00   46.00
00:43:35       6    0.98    0.00    9.80    0.00    0.00    2.94    0.00   10.78    0.00   75.49
00:43:35       7    0.00    0.00   15.15    0.00    0.00    0.00    0.00   28.28    0.00   56.57
00:43:35       8    2.06    0.00   18.56    0.00    0.00    1.03    0.00   11.34    0.00   67.01
00:43:35       9    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
00:43:35      10    0.98    0.00   13.73    0.00    0.00    0.00    0.00   12.75    0.00   72.55
00:43:35      11    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
00:43:35      12    2.11    0.00    9.47    0.00    0.00    0.00    0.00   17.89    0.00   70.53
00:43:35      13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
00:43:35      14    1.01    0.00   12.12    0.00    0.00    2.02    0.00   39.39    0.00   45.45
00:43:35      15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
00:43:35      16    1.96    0.00   12.75    0.00    0.00    0.98    0.00   40.20    0.00   44.12
00:43:35      17    0.96    0.00   20.19    0.00    0.00    4.81    0.00   36.54    0.00   37.50
00:43:35      18    1.96    0.00   36.27    0.00    0.00    7.84    0.00   51.96    0.00    1.96
00:43:35      19    3.85    0.00   22.12    0.00    0.00    3.85    0.00   32.69    0.00   37.50
00:43:35      20    1.83    0.00   16.51    0.00    0.00    2.75    0.00   33.94    0.00   44.95
00:43:35      21    1.02    0.00    4.08    0.00    0.00    0.00    0.00   23.47    0.00   71.43
00:43:35      22    3.00    0.00   26.00    0.00    0.00    5.00    0.00   63.00    0.00    3.00
00:43:35      23    2.04    0.00   30.61    0.00    0.00   11.22    0.00    3.06    0.00   53.06
00:43:35      24    3.00    0.00   20.00    0.00    0.00    2.00    0.00   15.00    0.00   60.00
00:43:35      25    0.99    0.00   46.53    0.00    0.00    0.00    0.00   42.57    0.00    9.90
00:43:35      26    1.96    0.00   14.71    0.00    0.00    3.92    0.00   34.31    0.00   45.10
00:43:35      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:35      28    0.97    0.00   27.18    0.00    0.00    2.91    0.00   34.95    0.00   33.98
00:43:35      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:35      30    0.98    0.00   19.61    0.00    0.00    1.96    0.00   19.61    0.00   57.84
00:43:35      31   32.32    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   63.64

00:43:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:43:36     all    2.45    0.00   14.28    0.00    0.00    2.79    0.00   21.53    0.00   58.91
00:43:36       0    0.00    0.00    3.74    0.00    0.00    8.41    0.00   31.78    0.00   56.07
00:43:36       1    7.22    0.00   24.74    0.00    0.00   16.49    0.00   23.71    0.00   27.84
00:43:36       2    2.06    0.00    8.25    0.00    0.00    7.22    0.00    8.25    0.00   74.23
00:43:36       3    3.03    0.00   31.31    0.00    0.00    0.00    0.00   59.60    0.00    6.06
00:43:36       4    2.02    0.00    9.09    0.00    0.00    2.02    0.00   11.11    0.00   75.76
00:43:36       5    0.00    0.00   20.00    0.00    0.00    0.00    0.00   32.00    0.00   48.00
00:43:36       6    1.05    0.00    8.42    0.00    0.00    1.05    0.00   11.58    0.00   77.89
00:43:36       7    1.03    0.00   15.46    0.00    0.00    0.00    0.00   24.74    0.00   58.76
00:43:36       8    3.06    0.00   17.35    0.00    0.00    1.02    0.00    9.18    0.00   69.39
00:43:36       9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
00:43:36      10    2.00    0.00   13.00    0.00    0.00    2.00    0.00    7.00    0.00   76.00
00:43:36      11    0.00    0.00    0.00    0.00    0.00    1.96    0.00    0.00    0.00   98.04
00:43:36      12    0.00    0.00   12.12    0.00    0.00    1.01    0.00   25.25    0.00   61.62
00:43:36      13    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
00:43:36      14    0.99    0.00   15.84    0.00    0.00    1.98    0.00   38.61    0.00   42.57
00:43:36      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:36      16    0.00    0.00   11.00    0.00    0.00    2.00    0.00   41.00    0.00   46.00
00:43:36      17    2.02    0.00   21.21    0.00    0.00    3.03    0.00   35.35    0.00   38.38
00:43:36      18    4.04    0.00   32.32    0.00    0.00   10.10    0.00   49.49    0.00    4.04
00:43:36      19    2.97    0.00   17.82    0.00    0.00    3.96    0.00   35.64    0.00   39.60
00:43:36      20    2.00    0.00   20.00    0.00    0.00    0.00    0.00   24.00    0.00   54.00
00:43:36      21    0.00    0.00    3.00    0.00    0.00    0.00    0.00   17.00    0.00   80.00
00:43:36      22    2.94    0.00   27.45    0.00    0.00    3.92    0.00   50.00    0.00   15.69
00:43:36      23    7.69    0.00   28.85    0.00    0.00   10.58    0.00    2.88    0.00   50.00
00:43:36      24    1.02    0.00   15.31    0.00    0.00    2.04    0.00   18.37    0.00   63.27
00:43:36      25    2.06    0.00   45.36    0.00    0.00    0.00    0.00   38.14    0.00   14.43
00:43:36      26    0.00    0.00   12.24    0.00    0.00    3.06    0.00   37.76    0.00   46.94
00:43:36      27    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
00:43:36      28    1.01    0.00   24.24    0.00    0.00    3.03    0.00   31.31    0.00   40.40
00:43:36      29    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
00:43:36      30    1.94    0.00   12.62    0.00    0.00    2.91    0.00   24.27    0.00   58.25
00:43:36      31   29.17    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   66.67

00:43:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:43:37     all    3.95    0.00   14.35    0.00    0.00    2.40    0.00   21.82    0.00   57.49
00:43:37       0    0.00    0.00   20.00    0.00    0.00    4.76    0.00   60.95    0.00   14.29
00:43:37       1    3.16    0.00   24.21    0.00    0.00   18.95    0.00   23.16    0.00   30.53
00:43:37       2    3.88    0.00   15.53    0.00    0.00    0.97    0.00    8.74    0.00   70.87
00:43:37       3    1.00    0.00   25.00    0.00    0.00    0.00    0.00   63.00    0.00   11.00
00:43:37       4    4.17    0.00   14.58    0.00    0.00    0.00    0.00    4.17    0.00   77.08
00:43:37       5    0.98    0.00   18.63    0.00    0.00    0.00    0.00   33.33    0.00   47.06
00:43:37       6    2.06    0.00   12.37    0.00    0.00    2.06    0.00    7.22    0.00   76.29
00:43:37       7    0.00    0.00   14.14    0.00    0.00    0.00    0.00   22.22    0.00   63.64
00:43:37       8    2.15    0.00    9.68    0.00    0.00    2.15    0.00   11.83    0.00   74.19
00:43:37       9    5.88    0.00    0.00    0.00    0.00    1.96    0.00    0.00    0.00   92.16
00:43:37      10    3.85    0.00   12.50    0.00    0.00    0.00    0.00   10.58    0.00   73.08
00:43:37      11    5.94    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   93.07
00:43:37      12    3.92    0.00   10.78    0.00    0.00    1.96    0.00   24.51    0.00   58.82
00:43:37      13    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
00:43:37      14    2.00    0.00   15.00    0.00    0.00    1.00    0.00   34.00    0.00   48.00
00:43:37      15    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.96
00:43:37      16    1.96    0.00   16.67    0.00    0.00    0.98    0.00   36.27    0.00   44.12
00:43:37      17    4.85    0.00   17.48    0.00    0.00    1.94    0.00   35.92    0.00   39.81
00:43:37      18    5.00    0.00   33.00    0.00    0.00    7.00    0.00   49.00    0.00    6.00
00:43:37      19    1.00    0.00   21.00    0.00    0.00    2.00    0.00   36.00    0.00   40.00
00:43:37      20    3.00    0.00   11.00    0.00    0.00    3.00    0.00   27.00    0.00   56.00
00:43:37      21    6.12    0.00    1.02    0.00    0.00    0.00    0.00   11.22    0.00   81.63
00:43:37      22    0.99    0.00   21.78    0.00    0.00    6.93    0.00   50.50    0.00   19.80
00:43:37      23    7.22    0.00   23.71    0.00    0.00   10.31    0.00    3.09    0.00   55.67
00:43:37      24    3.03    0.00   17.17    0.00    0.00    2.02    0.00   16.16    0.00   61.62
00:43:37      25    1.94    0.00   35.92    0.00    0.00    0.00    0.00   43.69    0.00   18.45
00:43:37      26    2.78    0.00   19.44    0.00    0.00    3.70    0.00   30.56    0.00   43.52
00:43:37      27    3.96    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   95.05
00:43:37      28    0.95    0.00   26.67    0.00    0.00    2.86    0.00   27.62    0.00   41.90
00:43:37      29    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
00:43:37      30    2.94    0.00   14.71    0.00    0.00    1.96    0.00   20.59    0.00   59.80
00:43:37      31   30.21    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   65.62

00:43:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:43:38     all    2.33    0.00   15.19    0.06    0.00    2.80    0.00   22.45    0.00   57.14
00:43:38       0    0.00    0.00    6.31    0.00    0.00    9.91    0.00   32.43    0.00   51.35
00:43:38       1    4.90    0.00   29.41    0.00    0.00   13.73    0.00   27.45    0.00   24.51
00:43:38       2    1.00    0.00   11.00    0.00    0.00    3.00    0.00   13.00    0.00   72.00
00:43:38       3    1.01    0.00   32.32    0.00    0.00    0.00    0.00   62.63    0.00    4.04
00:43:38       4    1.00    0.00   11.00    0.00    0.00    2.00    0.00   10.00    0.00   76.00
00:43:38       5    0.00    0.00   22.55    0.00    0.00    0.00    0.00   32.35    0.00   45.10
00:43:38       6    1.03    0.00   10.31    0.00    0.00    1.03    0.00   10.31    0.00   77.32
00:43:38       7    0.00    0.00   19.42    0.00    0.00    0.00    0.00   31.07    0.00   49.51
00:43:38       8    2.04    0.00   16.33    0.00    0.00    2.04    0.00   11.22    0.00   68.37
00:43:38       9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
00:43:38      10    1.00    0.00   10.00    0.00    0.00    1.00    0.00   13.00    0.00   75.00
00:43:38      11    1.01    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   97.98
00:43:38      12    0.00    0.00   11.43    0.00    0.00    0.95    0.00   24.76    0.00   62.86
00:43:38      13    0.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   97.00
00:43:38      14    0.98    0.00   10.78    0.98    0.00    2.94    0.00   40.20    0.00   44.12
00:43:38      15    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
00:43:38      16    0.98    0.00   12.75    0.00    0.00    2.94    0.00   40.20    0.00   43.14
00:43:38      17    1.98    0.00   26.73    0.00    0.00    3.96    0.00   31.68    0.00   35.64
00:43:38      18    4.95    0.00   32.67    0.00    0.00    6.93    0.00   54.46    0.00    0.99
00:43:38      19    3.03    0.00   26.26    0.00    0.00    2.02    0.00   30.30    0.00   38.38
00:43:38      20    1.90    0.00   18.10    0.00    0.00    4.76    0.00   25.71    0.00   49.52
00:43:38      21    0.00    0.00    0.98    0.00    0.00    0.98    0.00   11.76    0.00   86.27
00:43:38      22    0.99    0.00   27.72    0.00    0.00    3.96    0.00   54.46    0.00   12.87
00:43:38      23   10.10    0.00   25.25    0.00    0.00   10.10    0.00    5.05    0.00   49.49
00:43:38      24    0.99    0.00   18.81    0.00    0.00    3.96    0.00   17.82    0.00   58.42
00:43:38      25    1.03    0.00   45.36    0.00    0.00    0.00    0.00   44.33    0.00    9.28
00:43:38      26    2.11    0.00   16.84    0.00    0.00    4.21    0.00   30.53    0.00   46.32
00:43:38      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:38      28    2.00    0.00   24.00    0.00    0.00    3.00    0.00   32.00    0.00   39.00
00:43:38      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:38      30    0.00    0.00   12.50    0.00    0.00    2.88    0.00   27.88    0.00   56.73
00:43:38      31   31.31    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   64.65

00:43:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:43:39     all    2.23    0.00   12.95    0.03    0.00    2.94    0.00   19.93    0.00   61.92
00:43:39       0    0.00    0.00    2.78    0.00    0.00    9.26    0.00   26.85    0.00   61.11
00:43:39       1    5.10    0.00   22.45    0.00    0.00   16.33    0.00   21.43    0.00   34.69
00:43:39       2    1.98    0.00   14.85    0.00    0.00    1.98    0.00    7.92    0.00   73.27
00:43:39       3    2.04    0.00   24.49    0.00    0.00    0.00    0.00   58.16    0.00   15.31
00:43:39       4    2.02    0.00    9.09    0.00    0.00    2.02    0.00    9.09    0.00   77.78
00:43:39       5    0.98    0.00   15.69    0.00    0.00    0.00    0.00   32.35    0.00   50.98
00:43:39       6    1.01    0.00   12.12    0.00    0.00    1.01    0.00    8.08    0.00   77.78
00:43:39       7    0.00    0.00   13.00    0.00    0.00    0.00    0.00   26.00    0.00   61.00
00:43:39       8    2.00    0.00   15.00    0.00    0.00    2.00    0.00   10.00    0.00   71.00
00:43:39       9    0.93    0.00    0.93    0.00    0.00    7.41    0.00    0.00    0.00   90.74
00:43:39      10    0.00    0.00    9.00    0.00    0.00    2.00    0.00   11.00    0.00   78.00
00:43:39      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:43:39      12    1.96    0.00    6.86    0.00    0.00    1.96    0.00   34.31    0.00   54.90
00:43:39      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
00:43:39      14    1.98    0.00    7.92    0.00    0.00    2.97    0.00   35.64    0.00   51.49
00:43:39      15    0.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
00:43:39      16    1.00    0.00    9.00    0.00    0.00    2.00    0.00   37.00    0.00   51.00
00:43:39      17    2.02    0.00   15.15    0.00    0.00    3.03    0.00   34.34    0.00   45.45
00:43:39      18    2.02    0.00   35.35    0.00    0.00    6.06    0.00   46.46    0.00   10.10
00:43:39      19    0.00    0.00   19.80    0.00    0.00    3.96    0.00   32.67    0.00   43.56
00:43:39      20    2.94    0.00   13.73    0.00    0.00    2.94    0.00   23.53    0.00   56.86
00:43:39      21    0.00    0.00    1.92    0.00    0.00    0.00    0.00    8.65    0.00   89.42
00:43:39      22    2.86    0.00   27.62    0.00    0.00    2.86    0.00   42.86    0.00   23.81
00:43:39      23    4.95    0.00   25.74    0.00    0.00   11.88    0.00    1.98    0.00   55.45
00:43:39      24    1.00    0.00   15.00    0.00    0.00    3.00    0.00   17.00    0.00   64.00
