Linux 5.4.0-131-generic (grayfox) 	11/09/22 	_x86_64_	(32 CPU)

04:32:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:39     all    3.49    0.00    2.39    0.00    0.00    1.13    0.00    0.00    0.00   92.98
04:32:39       0    2.83    0.00    1.89    0.00    0.00    5.66    0.00    0.00    0.00   89.62
04:32:39       1    3.03    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   90.91
04:32:39       2    3.88    0.00    1.94    0.00    0.00    4.85    0.00    0.00    0.00   89.32
04:32:39       3    3.03    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   90.91
04:32:39       4    2.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
04:32:39       5    4.04    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   90.91
04:32:39       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:39       7    3.06    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   91.84
04:32:39       8    5.88    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   88.24
04:32:39       9    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:32:39      10    9.09    0.00    6.06    0.00    0.00    2.02    0.00    0.00    0.00   82.83
04:32:39      11    1.01    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   95.96
04:32:39      12    3.06    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   92.86
04:32:39      13    0.00    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   94.90
04:32:39      14    3.03    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   89.90
04:32:39      15    2.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
04:32:39      16    3.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   91.00
04:32:39      17    5.05    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   92.93
04:32:39      18    2.04    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   94.90
04:32:39      19    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:32:39      20    0.00    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   95.96
04:32:39      21    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:32:39      22    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   97.03
04:32:39      23    5.05    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   93.94
04:32:39      24    5.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
04:32:39      25    3.12    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   95.83
04:32:39      26    4.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:32:39      27    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
04:32:39      28    7.07    0.00    1.01    0.00    0.00    2.02    0.00    0.00    0.00   89.90
04:32:39      29    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:32:39      30    7.07    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   87.88
04:32:39      31   12.12    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   85.86

04:32:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:40     all    3.82    0.00    1.61    0.00    0.00    0.98    0.00    0.00    0.00   93.59
04:32:40       0    1.92    0.00    0.96    0.00    0.00    4.81    0.00    0.00    0.00   92.31
04:32:40       1    3.06    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   92.86
04:32:40       2    7.07    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   91.92
04:32:40       3    4.08    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   91.84
04:32:40       4    1.94    0.00    1.94    0.00    0.00    1.94    0.00    0.00    0.00   94.17
04:32:40       5    1.01    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   91.92
04:32:40       6    0.00    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   97.03
04:32:40       7    3.09    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   92.78
04:32:40       8    6.12    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   91.84
04:32:40       9    1.98    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00   94.06
04:32:40      10   10.20    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   86.73
