Linux 5.4.0-135-generic (grayfox) 	03/03/23 	_x86_64_	(32 CPU)

09:17:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:17:51     all   18.94    0.00    9.71    0.03    0.00    3.76    0.00    0.00    0.00   67.57
09:17:51       0   15.31    0.00    9.18    0.00    0.00    4.08    0.00    0.00    0.00   71.43
09:17:51       1   18.37    0.00    9.18    0.00    0.00    3.06    0.00    0.00    0.00   69.39
09:17:51       2   17.65    0.00   11.76    0.00    0.00    3.92    0.00    0.00    0.00   66.67
09:17:51       3   18.37    0.00    8.16    0.00    0.00    5.10    0.00    0.00    0.00   68.37
09:17:51       4   19.80    0.00   10.89    0.00    0.00    2.97    0.00    0.00    0.00   66.34
09:17:51       5   15.79    0.00    8.42    0.00    0.00    5.26    0.00    0.00    0.00   70.53
09:17:51       6   19.80    0.00    8.91    0.00    0.00    4.95    0.00    0.00    0.00   66.34
09:17:51       7   19.39    0.00   10.20    0.00    0.00    2.04    0.00    0.00    0.00   68.37
09:17:51       8   17.48    0.00   10.68    0.00    0.00    5.83    0.00    0.00    0.00   66.02
09:17:51       9   22.92    0.00    8.33    0.00    0.00    1.04    0.00    0.00    0.00   67.71
09:17:51      10   19.79    0.00    7.29    0.00    0.00    2.08    0.00    0.00    0.00   70.83
09:17:51      11   18.18    0.00   12.12    0.00    0.00    3.03    0.00    0.00    0.00   66.67
09:17:51      12   17.53    0.00    8.25    0.00    0.00    3.09    0.00    0.00    0.00   71.13
09:17:51      13   15.79    0.00   10.53    0.00    0.00    4.21    0.00    0.00    0.00   69.47
09:17:51      14   13.98    0.00    8.60    0.00    0.00    5.38    0.00    0.00    0.00   72.04
09:17:51      15   18.09    0.00    8.51    0.00    0.00    3.19    0.00    0.00    0.00   70.21
09:17:51      16   14.74    0.00   10.53    0.00    0.00    4.21    0.00    0.00    0.00   70.53
09:17:51      17   17.53    0.00    9.28    0.00    0.00    4.12    0.00    0.00    0.00   69.07
09:17:51      18   16.33    0.00   11.22    0.00    0.00    3.06    0.00    0.00    0.00   69.39
09:17:51      19   20.00    0.00   10.00    0.00    0.00    3.00    0.00    0.00    0.00   67.00
09:17:51      20   20.59    0.00    8.82    0.00    0.00    5.88    0.00    0.00    0.00   64.71
09:17:51      21   19.00    0.00   10.00    0.00    0.00    5.00    0.00    0.00    0.00   66.00
09:17:51      22   18.56    0.00    9.28    0.00    0.00    4.12    0.00    0.00    0.00   68.04
09:17:51      23   19.00    0.00   12.00    0.00    0.00    4.00    0.00    0.00    0.00   65.00
09:17:51      24   19.61    0.00    9.80    0.00    0.00    4.90    0.00    0.00    0.00   65.69
09:17:51      25   19.00    0.00   10.00    0.00    0.00    5.00    0.00    0.00    0.00   66.00
09:17:51      26   17.71    0.00   10.42    0.00    0.00    1.04    0.00    0.00    0.00   70.83
09:17:51      27   17.89    0.00    9.47    0.00    0.00    3.16    0.00    0.00    0.00   69.47
09:17:51      28   20.00    0.00    8.00    0.00    0.00    4.00    0.00    0.00    0.00   68.00
09:17:51      29   21.78    0.00    8.91    0.99    0.00    2.97    0.00    0.00    0.00   65.35
09:17:51      30   12.37    0.00   14.43    0.00    0.00    4.12    0.00    0.00    0.00   69.07
09:17:51      31   42.86    0.00    7.14    0.00    0.00    2.04    0.00    0.00    0.00   47.96

09:17:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:17:52     all   19.69    0.00    9.23    0.00    0.00    3.57    0.00    0.00    0.00   67.50
09:17:52       0   17.17    0.00   14.14    0.00    0.00    2.02    0.00    0.00    0.00   66.67
09:17:52       1   18.75    0.00    7.29    0.00    0.00    3.12    0.00    0.00    0.00   70.83
09:17:52       2   18.56    0.00    8.25    0.00    0.00    4.12    0.00    0.00    0.00   69.07
09:17:52       3   22.22    0.00   10.10    0.00    0.00    3.03    0.00    0.00    0.00   64.65
09:17:52       4   18.63    0.00   12.75    0.00    0.00    2.94    0.00    0.00    0.00   65.69
09:17:52       5   16.84    0.00    6.32    0.00    0.00    6.32    0.00    0.00    0.00   70.53
09:17:52       6   18.95    0.00   10.53    0.00    0.00    1.05    0.00    0.00    0.00   69.47
09:17:52       7   19.79    0.00    8.33    0.00    0.00    3.12    0.00    0.00    0.00   68.75
09:17:52       8   17.35    0.00   11.22    0.00    0.00    3.06    0.00    0.00    0.00   68.37
09:17:52       9   17.20    0.00    9.68    0.00    0.00    1.08    0.00    0.00    0.00   72.04
09:17:52      10   28.43    0.00    7.84    0.00    0.00    4.90    0.00    0.00    0.00   58.82
09:17:52      11   15.79    0.00    8.42    0.00    0.00    5.26    0.00    0.00    0.00   70.53
09:17:52      12   11.83    0.00    9.68    0.00    0.00    6.45    0.00    0.00    0.00   72.04
09:17:52      13   23.66    0.00    6.45    0.00    0.00    1.08    0.00    0.00    0.00   68.82
09:17:52      14   16.49    0.00    8.25    0.00    0.00    5.15    0.00    0.00    0.00   70.10
09:17:52      15   19.79    0.00    8.33    0.00    0.00    3.12    0.00    0.00    0.00   68.75
09:17:52      16   19.79    0.00    8.33    0.00    0.00    2.08    0.00    0.00    0.00   69.79
09:17:52      17   17.71    0.00    7.29    0.00    0.00    6.25    0.00    0.00    0.00   68.75
09:17:52      18   22.22    0.00    7.07    0.00    0.00    3.03    0.00    0.00    0.00   67.68
09:17:52      19   20.62    0.00    7.22    0.00    0.00    4.12    0.00    0.00    0.00   68.04
09:17:52      20   17.53    0.00    9.28    0.00    0.00    4.12    0.00    0.00    0.00   69.07
09:17:52      21   16.13    0.00   10.75    0.00    0.00    1.08    0.00    0.00    0.00   72.04
09:17:52      22   21.00    0.00    7.00    0.00    0.00    6.00    0.00    0.00    0.00   66.00
09:17:52      23   22.22    0.00    8.08    0.00    0.00    3.03    0.00    0.00    0.00   66.67
09:17:52      24   16.49    0.00   12.37    0.00    0.00    4.12    0.00    0.00    0.00   67.01
09:17:52      25   20.00    0.00    8.42    0.00    0.00    2.11    0.00    0.00    0.00   69.47
09:17:52      26   20.62    0.00    7.22    0.00    0.00    3.09    0.00    0.00    0.00   69.07
09:17:52      27   20.79    0.00    9.90    0.00    0.00    3.96    0.00    0.00    0.00   65.35
09:17:52      28   17.82    0.00   11.88    0.00    0.00    3.96    0.00    0.00    0.00   66.34
09:17:52      29   16.84    0.00   10.53    0.00    0.00    3.16    0.00    0.00    0.00   69.47
09:17:52      30   15.15    0.00   15.15    0.00    0.00    4.04    0.00    0.00    0.00   65.66
09:17:52      31   42.00    0.00    7.00    0.00    0.00    4.00    0.00    0.00    0.00   47.00

09:17:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:17:53     all   19.23    0.00    9.15    0.00    0.00    3.89    0.00    0.00    0.00   67.72
09:17:53       0   21.57    0.00    8.82    0.00    0.00    4.90    0.00    0.00    0.00   64.71
09:17:53       1   17.71    0.00    7.29    0.00    0.00    3.12    0.00    0.00    0.00   71.88
09:17:53       2   20.79    0.00   11.88    0.00    0.00    1.98    0.00    0.00    0.00   65.35
09:17:53       3   19.00    0.00    9.00    0.00    0.00    4.00    0.00    0.00    0.00   68.00
09:17:53       4   18.75    0.00    9.38    0.00    0.00    3.12    0.00    0.00    0.00   68.75
09:17:53       5   18.75    0.00    9.38    0.00    0.00    2.08    0.00    0.00    0.00   69.79
09:17:53       6   19.80    0.00    7.92    0.00    0.00    5.94    0.00    0.00    0.00   66.34
09:17:53       7   13.54    0.00   10.42    0.00    0.00    5.21    0.00    0.00    0.00   70.83
09:17:53       8   26.26    0.00    8.08    0.00    0.00    3.03    0.00    0.00    0.00   62.63
09:17:53       9   15.84    0.00   12.87    0.00    0.00    3.96    0.00    0.00    0.00   67.33
09:17:53      10   20.39    0.00    9.71    0.00    0.00    4.85    0.00    0.00    0.00   65.05
09:17:53      11   16.67    0.00    7.29    0.00    0.00    4.17    0.00    0.00    0.00   71.88
09:17:53      12   16.13    0.00    6.45    0.00    0.00    5.38    0.00    0.00    0.00   72.04
09:17:53      13   19.39    0.00    8.16    0.00    0.00    4.08    0.00    0.00    0.00   68.37
09:17:53      14   25.53    0.00    6.38    0.00    0.00    2.13    0.00    0.00    0.00   65.96
09:17:53      15   16.49    0.00    8.25    0.00    0.00    5.15    0.00    0.00    0.00   70.10
09:17:53      16   16.84    0.00    8.42    0.00    0.00    4.21    0.00    0.00    0.00   70.53
09:17:53      17   15.62    0.00    6.25    0.00    0.00    7.29    0.00    0.00    0.00   70.83
09:17:53      18   20.21    0.00    7.45    0.00    0.00    1.06    0.00    0.00    0.00   71.28
09:17:53      19   16.33    0.00   12.24    0.00    0.00    2.04    0.00    0.00    0.00   69.39
09:17:53      20   23.23    0.00    8.08    0.00    0.00    1.01    0.00    0.00    0.00   67.68
09:17:53      21   18.56    0.00    9.28    0.00    0.00    3.09    0.00    0.00    0.00   69.07
09:17:53      22   20.19    0.00   11.54    0.00    0.00    2.88    0.00    0.00    0.00   65.38
09:17:53      23   16.83    0.00   11.88    0.00    0.00    4.95    0.00    0.00    0.00   66.34
09:17:53      24   16.67    0.00    9.38    0.00    0.00    3.12    0.00    0.00    0.00   70.83
09:17:53      25   20.00    0.00    9.00    0.00    0.00    4.00    0.00    0.00    0.00   67.00
09:17:53      26   19.39    0.00   10.20    0.00    0.00    4.08    0.00    0.00    0.00   66.33
09:17:53      27   11.46    0.00   12.50    0.00    0.00    6.25    0.00    0.00    0.00   69.79
09:17:53      28   18.00    0.00   10.00    0.00    0.00    5.00    0.00    0.00    0.00   67.00
