Linux 5.4.0-126-generic (grayfox) 	10/15/22 	_x86_64_	(32 CPU)

23:09:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:09:59     all    7.92    0.00    4.15    0.00    0.00    1.57    0.00    0.00    0.00   86.36
23:09:59       0    9.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   85.00
23:09:59       1    7.14    0.00    5.10    0.00    0.00    2.04    0.00    0.00    0.00   85.71
23:09:59       2    7.22    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   88.66
23:09:59       3    9.09    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   84.85
23:09:59       4    9.90    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   83.17
23:09:59       5    8.08    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   86.87
23:09:59       6    8.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   86.00
23:09:59       7    4.12    0.00    5.15    0.00    0.00    1.03    0.00    0.00    0.00   89.69
23:09:59       8    7.92    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   85.15
23:09:59       9    7.92    0.00    3.96    0.00    0.00    2.97    0.00    0.00    0.00   85.15
23:09:59      10    9.62    0.00    4.81    0.00    0.00    1.92    0.00    0.00    0.00   83.65
23:09:59      11    5.10    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   86.73
23:09:59      12    7.22    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   87.63
23:09:59      13    8.00    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   87.00
23:09:59      14    6.32    0.00    3.16    0.00    0.00    1.05    0.00    0.00    0.00   89.47
23:09:59      15    9.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   86.00
23:09:59      16    8.82    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   85.29
23:09:59      17    7.14    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   88.78
23:09:59      18    5.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   88.00
23:09:59      19    9.09    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   86.87
23:09:59      20    8.65    0.00    5.77    0.00    0.00    1.92    0.00    0.00    0.00   83.65
23:09:59      21    9.71    0.00    4.85    0.00    0.00    0.97    0.00    0.00    0.00   84.47
23:09:59      22    7.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
23:09:59      23    5.26    0.00    3.16    0.00    0.00    1.05    0.00    0.00    0.00   90.53
23:09:59      24    6.93    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00   88.12
23:09:59      25    8.08    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   87.88
23:09:59      26    7.22    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   88.66
23:09:59      27    7.14    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   87.76
23:09:59      28    7.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
23:09:59      29   11.00    0.00    6.00    0.00    0.00    3.00    0.00    0.00    0.00   80.00
23:09:59      30    7.14    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   88.78
23:09:59      31   14.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   80.00

23:09:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:10:00     all    6.22    0.00    3.47    0.00    0.00    1.17    0.00    0.00    0.00   89.14
23:10:00       0    6.00    0.00    4.00    0.00    0.00    3.00    0.00    0.00    0.00   87.00
23:10:00       1    8.65    0.00    5.77    0.00    0.00    1.92    0.00    0.00    0.00   83.65
23:10:00       2    7.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   89.00
23:10:00       3    8.08    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   87.88
23:10:00       4    6.86    0.00    5.88    0.00    0.00    0.00    0.00    0.00    0.00   87.25
23:10:00       5    5.05    0.00    4.04    0.00    0.00    2.02    0.00    0.00    0.00   88.89
23:10:00       6    6.12    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   90.82
23:10:00       7    6.12    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   89.80
23:10:00       8    5.10    0.00    2.04    0.00    0.00    2.04    0.00    0.00    0.00   90.82
23:10:00       9    9.90    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   86.14
