Linux 5.4.0-126-generic (grayfox) 	10/15/22 	_x86_64_	(32 CPU)

22:50:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:50:01     all    3.09    0.00   15.82    0.00    0.00    2.46    0.00   18.41    0.00   60.21
22:50:01       0    0.00    0.00    0.90    0.00    0.00    9.91    0.00    2.70    0.00   86.49
22:50:01       1    5.38    0.00   27.96    0.00    0.00   10.75    0.00   13.98    0.00   41.94
22:50:01       2    1.00    0.00   23.00    0.00    0.00    2.00    0.00   40.00    0.00   34.00
22:50:01       3    2.02    0.00   30.30    0.00    0.00    0.00    0.00   64.65    0.00    3.03
22:50:01       4    0.00    0.00   24.21    0.00    0.00    1.05    0.00   25.26    0.00   49.47
22:50:01       5    0.00    0.00   10.89    0.00    0.00    1.98    0.00   41.58    0.00   45.54
22:50:01       6    0.00    0.00    2.02    0.00    0.00    2.02    0.00    3.03    0.00   92.93
22:50:01       7    0.00    0.00    8.25    0.00    0.00    1.03    0.00   32.99    0.00   57.73
22:50:01       8    0.00    0.00    2.04    0.00    0.00    0.00    0.00   20.41    0.00   77.55
22:50:01       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:50:01      10    2.02    0.00   33.33    0.00    0.00    3.03    0.00   17.17    0.00   44.44
22:50:01      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:50:01      12    4.00    0.00   31.00    0.00    0.00    4.00    0.00   16.00    0.00   45.00
22:50:01      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:50:01      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01    0.00   98.99
22:50:01      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:50:01      16    0.00    0.00    2.04    0.00    0.00    0.00    0.00    5.10    0.00   92.86
22:50:01      17    2.06    0.00   21.65    0.00    0.00    6.19    0.00    9.28    0.00   60.82
22:50:01      18    0.00    0.00    1.02    0.00    0.00    0.00    0.00    5.10    0.00   93.88
22:50:01      19    0.00    0.00   29.17    0.00    0.00    0.00    0.00   48.96    0.00   21.88
22:50:01      20    0.00    0.00   11.93    0.00    0.00    0.00    0.00   20.18    0.00   67.89
22:50:01      21    5.10    0.00   26.53    0.00    0.00   13.27    0.00    7.14    0.00   47.96
22:50:01      22    3.33    0.00   20.00    0.00    0.00    6.67    0.00    8.89    0.00   61.11
22:50:01      23    0.00    0.00   31.63    0.00    0.00    0.00    0.00   59.18    0.00    9.18
22:50:01      24    1.98    0.00   29.70    0.00    0.00    0.00    0.00   49.50    0.00   18.81
22:50:01      25    5.15    0.00   21.65    0.00    0.00    8.25    0.00    0.00    0.00   64.95
22:50:01      26    4.17    0.00   23.96    0.00    0.00    6.25    0.00    7.29    0.00   58.33
22:50:01      27    1.01    0.00   44.44    0.00    0.00    0.00    0.00   34.34    0.00   20.20
22:50:01      28    0.00    0.00   30.00    0.00    0.00    0.00    0.00   56.00    0.00   14.00
22:50:01      29   29.41    0.00   13.73    0.00    0.00    1.96    0.00    0.00    0.00   54.90
22:50:01      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
22:50:01      31   32.65    0.00    9.18    0.00    0.00    1.02    0.00    0.00    0.00   57.14

22:50:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:50:02     all    3.12    0.00   17.07    0.00    0.00    2.49    0.00   19.40    0.00   57.93
22:50:02       0    0.00    0.00    1.87    0.00    0.00    6.54    0.00    2.80    0.00   88.79
22:50:02       1    4.35    0.00   26.09    0.00    0.00   10.87    0.00   11.96    0.00   46.74
