Linux 5.4.0-126-generic (grayfox) 	10/11/22 	_x86_64_	(32 CPU)

04:19:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:19:12     all   25.25    0.00   13.71    0.00    0.00    4.98    0.00    0.00    0.00   56.05
04:19:12       0   24.74    0.00    8.25    0.00    0.00    7.22    0.00    0.00    0.00   59.79
04:19:12       1   14.29    0.00   15.24    0.00    0.00    5.71    0.00    0.00    0.00   64.76
04:19:12       2   22.22    0.00   12.12    0.00    0.00    6.06    0.00    0.00    0.00   59.60
04:19:12       3   14.29    0.00   20.41    0.00    0.00    2.04    0.00    0.00    0.00   63.27
04:19:12       4   19.80    0.00   15.84    0.00    0.00    5.94    0.00    0.00    0.00   58.42
04:19:12       5   18.18    0.00   15.15    0.00    0.00    5.05    0.00    0.00    0.00   61.62
04:19:12       6   20.41    0.00   14.29    0.00    0.00    5.10    0.00    0.00    0.00   60.20
04:19:12       7   17.71    0.00   13.54    0.00    0.00    7.29    0.00    0.00    0.00   61.46
04:19:12       8   19.79    0.00   15.62    0.00    0.00    4.17    0.00    0.00    0.00   60.42
04:19:12       9   20.41    0.00   14.29    0.00    0.00    4.08    0.00    0.00    0.00   61.22
04:19:12      10   25.00    0.00   12.00    0.00    0.00    4.00    0.00    0.00    0.00   59.00
04:19:12      11   23.23    0.00   10.10    0.00    0.00    6.06    0.00    0.00    0.00   60.61
04:19:12      12   23.30    0.00   15.53    0.00    0.00    2.91    0.00    0.00    0.00   58.25
04:19:12      13   21.21    0.00   14.14    0.00    0.00    6.06    0.00    0.00    0.00   58.59
04:19:12      14   17.35    0.00   16.33    0.00    0.00    6.12    0.00    0.00    0.00   60.20
04:19:12      15   21.21    0.00   21.21    0.00    0.00    3.03    0.00    0.00    0.00   54.55
04:19:12      16   19.00    0.00   15.00    0.00    0.00    7.00    0.00    0.00    0.00   59.00
04:19:12      17   20.41    0.00   13.27    0.00    0.00    5.10    0.00    0.00    0.00   61.22
04:19:12      18   20.79    0.00   15.84    0.00    0.00    4.95    0.00    0.00    0.00   58.42
04:19:12      19   20.00    0.00   11.58    0.00    0.00    5.26    0.00    0.00    0.00   63.16
04:19:12      20   20.00    0.00   17.00    0.00    0.00    5.00    0.00    0.00    0.00   58.00
04:19:12      21   27.45    0.00   10.78    0.00    0.00    3.92    0.00    0.00    0.00   57.84
04:19:12      22   18.00    0.00   17.00    0.00    0.00    6.00    0.00    0.00    0.00   59.00
04:19:12      23   22.68    0.00   12.37    0.00    0.00    4.12    0.00    0.00    0.00   60.82
04:19:12      24   17.02    0.00   14.89    0.00    0.00    4.26    0.00    0.00    0.00   63.83
04:19:12      25   24.24    0.00   10.10    0.00    0.00    7.07    0.00    0.00    0.00   58.59
04:19:12      26   21.65    0.00   16.49    0.00    0.00    2.06    0.00    0.00    0.00   59.79
04:19:12      27   26.00    0.00   14.00    0.00    0.00    4.00    0.00    0.00    0.00   56.00
04:19:12      28   18.18    0.00   17.17    0.00    0.00    5.05    0.00    0.00    0.00   59.60
04:19:12      29   91.26    0.00    4.85    0.00    0.00    2.91    0.00    0.00    0.00    0.97
04:19:12      30   22.55    0.00   11.76    0.00    0.00    6.86    0.00    0.00    0.00   58.82
04:19:12      31   92.00    0.00    3.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00

04:19:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:19:13     all   25.20    0.00   13.20    0.00    0.00    4.47    0.00    0.00    0.00   57.13
04:19:13       0   24.51    0.00   13.73    0.00    0.00    2.94    0.00    0.00    0.00   58.82
04:19:13       1   18.81    0.00   10.89    0.00    0.00    2.97    0.00    0.00    0.00   67.33
04:19:13       2   21.65    0.00   12.37    0.00    0.00    4.12    0.00    0.00    0.00   61.86
04:19:13       3   21.00    0.00   12.00    0.00    0.00    3.00    0.00    0.00    0.00   64.00
04:19:13       4   19.80    0.00   14.85    0.00    0.00    4.95    0.00    0.00    0.00   60.40
04:19:13       5   18.37    0.00   13.27    0.00    0.00    5.10    0.00    0.00    0.00   63.27
04:19:13       6   20.59    0.00   14.71    0.00    0.00    3.92    0.00    0.00    0.00   60.78
04:19:13       7   16.83    0.00   14.85    0.00    0.00    6.93    0.00    0.00    0.00   61.39
04:19:13       8   21.78    0.00   14.85    0.00    0.00    3.96    0.00    0.00    0.00   59.41
04:19:13       9   22.55    0.00   14.71    0.00    0.00    2.94    0.00    0.00    0.00   59.80
04:19:13      10   21.88    0.00   13.54    0.00    0.00    3.12    0.00    0.00    0.00   61.46
04:19:13      11   20.20    0.00   14.14    0.00    0.00    4.04    0.00    0.00    0.00   61.62
04:19:13      12   18.75    0.00   12.50    0.00    0.00    6.25    0.00    0.00    0.00   62.50
04:19:13      13   18.37    0.00   15.31    0.00    0.00    4.08    0.00    0.00    0.00   62.24
04:19:13      14   23.00    0.00   12.00    0.00    0.00    5.00    0.00    0.00    0.00   60.00
04:19:13      15   24.00    0.00   11.00    0.00    0.00    6.00    0.00    0.00    0.00   59.00
04:19:13      16   18.56    0.00   13.40    0.00    0.00    6.19    0.00    0.00    0.00   61.86
04:19:13      17   19.15    0.00   14.89    0.00    0.00    3.19    0.00    0.00    0.00   62.77
04:19:13      18   22.00    0.00   13.00    0.00    0.00    6.00    0.00    0.00    0.00   59.00
04:19:13      19   20.59    0.00   14.71    0.00    0.00    4.90    0.00    0.00    0.00   59.80
04:19:13      20   19.00    0.00   17.00    0.00    0.00    4.00    0.00    0.00    0.00   60.00
04:19:13      21   20.41    0.00   13.27    0.00    0.00    5.10    0.00    0.00    0.00   61.22
04:19:13      22   26.21    0.00   12.62    0.00    0.00    2.91    0.00    0.00    0.00   58.25
04:19:13      23   18.37    0.00   13.27    0.00    0.00    7.14    0.00    0.00    0.00   61.22
04:19:13      24   21.21    0.00   14.14    0.00    0.00    4.04    0.00    0.00    0.00   60.61
04:19:13      25   21.43    0.00   14.29    0.00    0.00    4.08    0.00    0.00    0.00   60.20
04:19:13      26   18.00    0.00   18.00    0.00    0.00    4.00    0.00    0.00    0.00   60.00
04:19:13      27   18.00    0.00   20.00    0.00    0.00    5.00    0.00    0.00    0.00   57.00
04:19:13      28   21.65    0.00   10.31    0.00    0.00    6.19    0.00    0.00    0.00   61.86
04:19:13      29   93.94    0.00    2.02    0.00    0.00    4.04    0.00    0.00    0.00    0.00
04:19:13      30   21.65    0.00   13.40    0.00    0.00    4.12    0.00    0.00    0.00   60.82
04:19:13      31   93.94    0.00    3.03    0.00    0.00    3.03    0.00    0.00    0.00    0.00

04:19:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:19:14     all   25.18    0.00   12.61    0.00    0.00    4.82    0.00    0.00    0.00   57.40
04:19:14       0   28.71    0.00   11.88    0.00    0.00    1.98    0.00    0.00    0.00   57.43
04:19:14       1   12.50    0.00    9.38    0.00    0.00    5.21    0.00    0.00    0.00   72.92
04:19:14       2   19.80    0.00   15.84    0.00    0.00    3.96    0.00    0.00    0.00   60.40
04:19:14       3   15.62    0.00   13.54    0.00    0.00    3.12    0.00    0.00    0.00   67.71
04:19:14       4   22.00    0.00   13.00    0.00    0.00    4.00    0.00    0.00    0.00   61.00
04:19:14       5   19.00    0.00   12.00    0.00    0.00    4.00    0.00    0.00    0.00   65.00
04:19:14       6   22.33    0.00   12.62    0.00    0.00    5.83    0.00    0.00    0.00   59.22
04:19:14       7   19.79    0.00   12.50    0.00    0.00    2.08    0.00    0.00    0.00   65.62
04:19:14       8   25.74    0.00    9.90    0.00    0.00    3.96    0.00    0.00    0.00   60.40
04:19:14       9   17.53    0.00   13.40    0.00    0.00    5.15    0.00    0.00    0.00   63.92
04:19:14      10   22.55    0.00   12.75    0.00    0.00    4.90    0.00    0.00    0.00   59.80
04:19:14      11   18.00    0.00   15.00    0.00    0.00    7.00    0.00    0.00    0.00   60.00
04:19:14      12   24.75    0.00    9.90    0.00    0.00    5.94    0.00    0.00    0.00   59.41
04:19:14      13   19.42    0.00   15.53    0.00    0.00    5.83    0.00    0.00    0.00   59.22
04:19:14      14   18.37    0.00   14.29    0.00    0.00    5.10    0.00    0.00    0.00   62.24
04:19:14      15   22.22    0.00   12.12    0.00    0.00    4.04    0.00    0.00    0.00   61.62
04:19:14      16   22.77    0.00   12.87    0.00    0.00    3.96    0.00    0.00    0.00   60.40
04:19:14      17   20.79    0.00   14.85    0.00    0.00    4.95    0.00    0.00    0.00   59.41
04:19:14      18   18.18    0.00   15.15    0.00    0.00    4.04    0.00    0.00    0.00   62.63
04:19:14      19   16.49    0.00   14.43    0.00    0.00    7.22    0.00    0.00    0.00   61.86
04:19:14      20   24.00    0.00   10.00    0.00    0.00    5.00    0.00    0.00    0.00   61.00
04:19:14      21   20.41    0.00   12.24    0.00    0.00    5.10    0.00    0.00    0.00   62.24
04:19:14      22   21.36    0.00   13.59    0.00    0.00    5.83    0.00    0.00    0.00   59.22
04:19:14      23   20.41    0.00   11.22    0.00    0.00    6.12    0.00    0.00    0.00   62.24
04:19:14      24   22.77    0.00   14.85    0.00    0.00    3.96    0.00    0.00    0.00   58.42
04:19:14      25   20.20    0.00   15.15    0.00    0.00    4.04    0.00    0.00    0.00   60.61
04:19:14      26   24.51    0.00   15.69    0.00    0.00    3.92    0.00    0.00    0.00   55.88
04:19:14      27   17.82    0.00   13.86    0.00    0.00    8.91    0.00    0.00    0.00   59.41
04:19:14      28   20.39    0.00   17.48    0.00    0.00    3.88    0.00    0.00    0.00   58.25
04:19:14      29   89.90    0.00    5.05    0.00    0.00    5.05    0.00    0.00    0.00    0.00
04:19:14      30   22.77    0.00   11.88    0.00    0.00    4.95    0.00    0.00    0.00   60.40
04:19:14      31   94.00    0.00    1.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00

04:19:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:19:15     all   24.26    0.00   14.10    0.00    0.00    5.11    0.00    0.00    0.00   56.53
04:19:15       0   19.19    0.00   16.16    0.00    0.00    4.04    0.00    0.00    0.00   60.61
04:19:15       1   16.33    0.00   10.20    0.00    0.00    4.08    0.00    0.00    0.00   69.39
04:19:15       2   18.45    0.00   19.42    0.00    0.00    3.88    0.00    0.00    0.00   58.25
04:19:15       3   19.19    0.00   12.12    0.00    0.00    3.03    0.00    0.00    0.00   65.66
04:19:15       4   19.19    0.00   15.15    0.00    0.00    7.07    0.00    0.00    0.00   58.59
04:19:15       5   22.45    0.00   13.27    0.00    0.00    4.08    0.00    0.00    0.00   60.20
04:19:15       6   21.43    0.00   12.24    0.00    0.00    5.10    0.00    0.00    0.00   61.22
04:19:15       7   18.56    0.00   13.40    0.00    0.00    6.19    0.00    0.00    0.00   61.86
04:19:15       8   17.65    0.00   19.61    0.00    0.00    3.92    0.00    0.00    0.00   58.82
04:19:15       9   20.00    0.00   17.00    0.00    0.00    6.00    0.00    0.00    0.00   57.00
04:19:15      10   19.61    0.00   18.63    0.00    0.00    3.92    0.00    0.00    0.00   57.84
04:19:15      11   15.46    0.00   15.46    0.00    0.00    6.19    0.00    0.00    0.00   62.89
04:19:15      12   17.35    0.00   16.33    0.00    0.00    7.14    0.00    0.00    0.00   59.18
04:19:15      13   22.22    0.00   12.12    0.00    0.00    5.05    0.00    0.00    0.00   60.61
04:19:15      14   17.82    0.00   19.80    0.00    0.00    2.97    0.00    0.00    0.00   59.41
04:19:15      15   22.55    0.00   12.75    0.00    0.00    4.90    0.00    0.00    0.00   59.80
04:19:15      16   18.56    0.00   14.43    0.00    0.00    6.19    0.00    0.00    0.00   60.82
04:19:15      17   17.17    0.00   16.16    0.00    0.00    5.05    0.00    0.00    0.00   61.62
04:19:15      18   17.48    0.00   16.50    0.00    0.00    7.77    0.00    0.00    0.00   58.25
04:19:15      19   19.19    0.00   15.15    0.00    0.00    4.04    0.00    0.00    0.00   61.62
04:19:15      20   19.00    0.00   16.00    0.00    0.00    5.00    0.00    0.00    0.00   60.00
04:19:15      21   19.19    0.00   14.14    0.00    0.00    6.06    0.00    0.00    0.00   60.61
04:19:15      22   26.73    0.00   10.89    0.00    0.00    2.97    0.00    0.00    0.00   59.41
04:19:15      23   18.37    0.00   12.24    0.00    0.00    8.16    0.00    0.00    0.00   61.22
04:19:15      24   19.61    0.00   15.69    0.00    0.00    5.88    0.00    0.00    0.00   58.82
04:19:15      25   22.55    0.00   10.78    0.00    0.00    6.86    0.00    0.00    0.00   59.80
04:19:15      26   22.00    0.00   14.00    0.00    0.00    5.00    0.00    0.00    0.00   59.00
04:19:15      27   23.23    0.00   11.11    0.00    0.00    7.07    0.00    0.00    0.00   58.59
04:19:15      28   19.19    0.00   16.16    0.00    0.00    4.04    0.00    0.00    0.00   60.61
04:19:15      29   92.08    0.00    2.97    0.00    0.00    4.95    0.00    0.00    0.00    0.00
04:19:15      30   21.21    0.00   15.15    0.00    0.00    4.04    0.00    0.00    0.00   59.60
04:19:15      31   91.09    0.00    5.94    0.00    0.00    2.97    0.00    0.00    0.00    0.00

04:19:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:19:16     all   25.68    0.00   13.56    0.00    0.00    5.07    0.00    0.00    0.00   55.68
04:19:16       0   19.61    0.00   16.67    0.00    0.00    5.88    0.00    0.00    0.00   57.84
04:19:16       1   17.82    0.00   11.88    0.00    0.00    4.95    0.00    0.00    0.00   65.35
04:19:16       2   22.00    0.00   14.00    0.00    0.00    6.00    0.00    0.00    0.00   58.00
04:19:16       3   17.17    0.00   15.15    0.00    0.00    5.05    0.00    0.00    0.00   62.63
04:19:16       4   24.27    0.00   12.62    0.00    0.00    5.83    0.00    0.00    0.00   57.28
04:19:16       5   19.39    0.00   13.27    0.00    0.00    6.12    0.00    0.00    0.00   61.22
04:19:16       6   25.25    0.00    9.09    0.00    0.00    6.06    0.00    0.00    0.00   59.60
04:19:16       7   20.20    0.00   16.16    0.00    0.00    4.04    0.00    0.00    0.00   59.60
04:19:16       8   18.37    0.00   15.31    0.00    0.00    6.12    0.00    0.00    0.00   60.20
04:19:16       9   24.75    0.00   10.89    0.00    0.00    4.95    0.00    0.00    0.00   59.41
04:19:16      10   18.37    0.00   15.31    0.00    0.00    5.10    0.00    0.00    0.00   61.22
