Linux 5.4.0-126-generic (grayfox) 	10/10/22 	_x86_64_	(32 CPU)

19:15:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:15:35     all    2.30    0.00   14.34    0.00    0.00    2.49    0.00   22.75    0.00   58.12
19:15:35       0    0.93    0.00    3.70    0.00    0.00    7.41    0.00   16.67    0.00   71.30
19:15:35       1    7.78    0.00   26.67    0.00    0.00   13.33    0.00   12.22    0.00   40.00
19:15:35       2    0.00    0.00   12.38    0.00    0.00    2.86    0.00   11.43    0.00   73.33
19:15:35       3    1.98    0.00   25.74    0.00    0.00    0.00    0.00   58.42    0.00   13.86
19:15:35       4    1.92    0.00   10.58    0.00    0.00    2.88    0.00   10.58    0.00   74.04
19:15:35       5    0.00    0.00    7.92    0.00    0.00    0.00    0.00   21.78    0.00   70.30
19:15:35       6    2.04    0.00    9.18    0.00    0.00    2.04    0.00    7.14    0.00   79.59
19:15:35       7    0.00    0.00    7.00    0.00    0.00    0.00    0.00   24.00    0.00   69.00
19:15:35       8    0.00    0.00   15.84    0.00    0.00    0.99    0.00   13.86    0.00   69.31
19:15:35       9    0.00    0.00    7.29    0.00    0.00    0.00    0.00   20.83    0.00   71.88
19:15:35      10    2.02    0.00   10.10    0.00    0.00    2.02    0.00   12.12    0.00   73.74
19:15:35      11    0.00    0.00    8.00    0.00    0.00    0.00    0.00   20.00    0.00   72.00
19:15:35      12    2.02    0.00   12.12    0.00    0.00    1.01    0.00   23.23    0.00   61.62
19:15:35      13    0.00    0.00   10.10    0.00    0.00    0.00    0.00   20.20    0.00   69.70
19:15:35      14    1.01    0.00   14.14    0.00    0.00    1.01    0.00   30.30    0.00   53.54
19:15:35      15    0.00    0.00    5.15    0.00    0.00    0.00    0.00   18.56    0.00   76.29
19:15:35      16    3.00    0.00   15.00    0.00    0.00    0.00    0.00   27.00    0.00   55.00
19:15:35      17    1.02    0.00   19.39    0.00    0.00    4.08    0.00   29.59    0.00   45.92
19:15:35      18    4.00    0.00   32.00    0.00    0.00    6.00    0.00   46.00    0.00   12.00
19:15:35      19    4.21    0.00   20.00    0.00    0.00    2.11    0.00   27.37    0.00   46.32
19:15:35      20    2.86    0.00   19.05    0.00    0.00    1.90    0.00   25.71    0.00   50.48
19:15:35      21    1.00    0.00    9.00    0.00    0.00    1.00    0.00   51.00    0.00   38.00
19:15:35      22    3.00    0.00   27.00    0.00    0.00    5.00    0.00   51.00    0.00   14.00
19:15:35      23    4.49    0.00   20.22    0.00    0.00    8.99    0.00    2.25    0.00   64.04
19:15:35      24    1.04    0.00   13.54    0.00    0.00    3.12    0.00   16.67    0.00   65.62
