Linux 5.4.0-126-generic (grayfox) 	11/06/22 	_x86_64_	(32 CPU)

01:29:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:26     all    0.79    0.00    4.78    0.00    0.00    1.55    0.00    6.83    0.00   86.05
01:29:26       0    0.00    0.00    1.74    0.00    0.00   17.39    0.00    7.83    0.00   73.04
01:29:26       1    2.11    0.00    8.42    0.00    0.00    4.21    0.00    7.37    0.00   77.89
01:29:26       2    0.00    0.00    6.19    0.00    0.00    0.00    0.00   10.31    0.00   83.51
01:29:26       3    2.00    0.00   20.00    0.00    0.00    0.00    0.00   21.00    0.00   57.00
01:29:26       4    0.00    0.00    4.04    0.00    0.00    2.02    0.00   12.12    0.00   81.82
01:29:26       5    1.00    0.00    0.00    0.00    0.00    2.00    0.00    8.00    0.00   89.00
01:29:26       6    1.94    0.00    2.91    0.00    0.00    2.91    0.00   12.62    0.00   79.61
01:29:26       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.14    0.00   92.86
01:29:26       8    0.00    0.00    5.05    0.00    0.00    2.02    0.00    8.08    0.00   84.85
01:29:26       9    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:29:26      10    0.00    0.00    4.40    0.00    0.00    1.10    0.00    6.59    0.00   87.91
01:29:26      11    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:29:26      12    2.11    0.00    5.26    0.00    0.00    0.00    0.00   16.84    0.00   75.79
01:29:26      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:26      14    1.02    0.00    5.10    0.00    0.00    1.02    0.00    6.12    0.00   86.73
01:29:26      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:26      16    1.01    0.00    9.09    0.00    0.00    1.01    0.00   10.10    0.00   78.79
01:29:26      17    1.03    0.00    5.15    0.00    0.00    2.06    0.00    3.09    0.00   88.66
01:29:26      18    1.05    0.00    5.26    0.00    0.00    1.05    0.00    9.47    0.00   83.16
01:29:26      19    0.00    0.00    8.33    0.00    0.00    0.00    0.00   10.42    0.00   81.25
01:29:26      20    1.03    0.00    8.25    0.00    0.00    1.03    0.00    6.19    0.00   83.51
01:29:26      21    1.03    0.00    8.25    0.00    0.00    5.15    0.00    0.00    0.00   85.57
01:29:26      22    0.00    0.00    9.80    0.00    0.00    1.96    0.00   28.43    0.00   59.80
01:29:26      23    2.06    0.00   22.68    0.00    0.00    0.00    0.00    7.22    0.00   68.04
01:29:26      24    0.00    0.00   10.10    0.00    0.00    2.02    0.00   19.19    0.00   68.69
01:29:26      25    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:29:26      26    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:29:26      27    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01:29:26      28    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:29:26      29    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:29:26      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:26      31    2.11    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   96.84

01:29:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:27     all    0.60    0.00    4.89    0.00    0.00    1.35    0.00    7.06    0.00   86.05
01:29:27       0    0.00    0.00    2.59    0.00    0.00   14.66    0.00    6.03    0.00   76.72
01:29:27       1    2.08    0.00   11.46    0.00    0.00    4.17    0.00    6.25    0.00   76.04
01:29:27       2    0.00    0.00    3.85    0.00    0.00    1.92    0.00   13.46    0.00   80.77
01:29:27       3    0.00    0.00   15.15    0.00    0.00    0.00    0.00   27.27    0.00   57.58
01:29:27       4    0.98    0.00    4.90    0.00    0.00    0.98    0.00   11.76    0.00   81.37
01:29:27       5    0.00    0.00    0.00    0.00    0.00    1.01    0.00    9.09    0.00   89.90
01:29:27       6    0.00    0.00    5.10    0.00    0.00    2.04    0.00   10.20    0.00   82.65
01:29:27       7    0.00    0.00    1.01    0.00    0.00    0.00    0.00    5.05    0.00   93.94
