3034,28261,3427,2526,3360,1078,4646,852,4526,144,5296,193,9186,234,3886,101,6518,8825,6532,2351,6057,21736,10177,2866,12778,382,169,314,143,425,139,592
2007,25890,3005,2579,3057,1168,4202,644,4091,153,5371,132,8110,412,2923,162,5860,8238,5822,2027,5186,19405,9194,2619,11180,476,211,246,148,250,150,586
2203,27967,3282,2229,3337,972,4478,1116,4506,184,5309,132,8071,156,3237,28,6089,8321,6000,2169,5485,21046,9360,3238,11344,332,282,203,264,132,177,478
2062,23603,2813,2412,2717,843,4210,872,4740,228,5359,143,7115,506,2948,196,5452,7108,5556,1935,4894,18239,7528,2753,11604,547,592,266,1059,186,793,540
2131,29389,3241,2423,3255,1134,4639,1264,4458,190,5710,134,7980,440,3350,417,6507,8775,6478,2278,5690,23470,9021,2755,12065,1211,217,272,146,264,163,541
2060,25392,2824,2475,3133,1104,4088,847,4020,220,4838,184,7202,464,2953,139,5555,8079,5966,1947,5095,19118,8095,2793,11211,1150,215,513,178,218,233,546
2004,23796,2942,2123,2820,1091,3880,698,4100,274,4662,128,6329,416,3100,142,5660,8123,5394,1886,5068,18534,7658,2377,10103,247,147,1421,157,224,158,523
1905,21644,3162,2004,3013,920,3756,622,3723,294,4272,224,6141,210,2626,82,5272,7060,5450,1713,4540,16946,6866,2305,9622,190,150,146,160,151,287,476
2096,25679,2936,2319,2851,1127,4189,804,4325,170,5123,136,6719,332,3071,151,5848,7266,5675,2093,5238,19891,7052,2483,10935,212,424,153,167,145,165,450
1930,24957,2857,2149,2752,1264,4142,751,4034,207,4919,222,6537,359,3071,84,5808,7475,5716,1928,5195,19038,7252,2622,10617,220,147,246,233,374,245,540
1906,23257,2762,2014,2605,1013,3935,577,3660,162,4326,284,6126,515,2771,192,5134,6414,5192,1768,4706,18046,6866,3244,10131,667,175,145,161,232,154,908
2067,23540,3098,2177,2711,1155,3830,868,3771,139,4880,136,6035,272,2921,110,5770,6636,5337,1846,4986,19200,6398,2423,10282,923,209,159,146,133,160,953
1991,21906,2655,2091,2512,1033,3730,668,3714,326,4433,133,5811,418,2984,84,5135,6522,5190,1779,4659,16835,5967,2141,9386,2012,145,157,141,200,139,899
1909,21136,2787,2220,2659,922,3749,686,3667,285,4317,147,5435,361,2672,82,5195,6793,4984,1749,4582,16918,5533,2371,9119,184,181,198,144,258,151,925
2437,23503,2914,2163,3095,1205,4177,674,3979,154,5036,201,6135,322,3304,143,5621,7760,5930,1850,5131,19721,6429,2432,10702,196,143,1252,216,134,144,969
2014,22635,2720,2117,2834,1010,3942,907,4017,355,4589,297,5360,421,3043,154,5401,7281,5538,1788,4930,17480,5906,3076,10348,1008,209,471,212,299,218,995
1971,25055,2977,2202,3064,1071,4357,890,4171,354,5090,161,6487,372,3044,177,6006,7977,5932,1959,5295,19446,6509,3112,11059,1127,146,143,146,221,146,978
2122,23890,2978,2250,2759,1191,4113,542,3939,248,4733,161,5607,286,3117,68,5572,7448,5716,1822,4920,17560,5858,2450,10333,2394,151,148,144,128,143,968
2231,21360,2651,1944,2615,1037,3916,700,3720,254,4571,294,5272,376,2997,128,5196,6949,5014,1758,4757,16774,5658,3024,9525,1093,331,148,304,210,190,906
2008,20962,2673,2080,2631,1036,3635,592,3559,388,4335,158,5181,312,2628,112,5023,6822,5253,1748,4686,17557,5274,2968,9619,164,151,154,157,400,290,918
1993,23444,2995,2002,2886,1021,4101,674,3775,152,4656,208,5586,433,2948,180,5709,7161,5594,1868,4893,17955,5898,3158,10518,406,353,156,314,290,153,942
2051,24168,2963,2145,2835,1220,4170,715,4121,260,5104,142,5815,241,3019,82,5827,7653,5661,1893,5174,18985,6187,2412,10766,239,153,1905,161,279,138,978
2048,24064,3081,2080,2963,1335,4262,752,4190,300,4961,215,5943,360,3256,144,6020,7778,5906,1873,5283,19337,6666,2711,10938,426,159,329,261,287,149,994
2093,26143,3148,2352,3108,1016,4534,912,4383,151,5283,180,6346,360,3246,94,6230,8187,6373,2000,5520,20457,6734,2587,11605,1766,156,402,155,135,157,1029
1977,23359,3024,2259,3235,1031,4057,769,3926,304,4961,190,5450,388,2890,132,5835,7651,5691,2002,5128,18555,6104,2713,10421,986,208,565,137,217,316,954
2011,22993,2789,2271,2759,948,4153,932,4143,355,4750,297,5534,574,3057,212,5404,7532,5522,2077,4995,17723,5912,2457,10763,2294,299,198,203,175,251,1006
1793,19790,2582,1999,2574,969,3705,718,3553,153,4276,171,5139,323,2575,93,5087,6907,4882,1801,4611,16344,5581,2088,9541,520,150,184,139,135,138,989
1896,19660,2431,1987,2373,856,3562,658,3481,289,4206,184,4774,297,2565,66,4604,5517,4732,1665,4270,15154,4787,2648,8678,296,302,323,186,280,190,899
2194,23403,3054,2100,3080,1083,4203,604,4151,160,4905,190,5742,484,3548,235,5890,7582,5757,1966,5253,18196,6388,2603,10924,1558,198,251,134,241,215,990
2107,23239,2687,2136,2759,921,4149,780,3962,134,4779,152,5765,406,3146,120,5614,7288,5703,1896,5030,18052,6075,3109,10465,762,182,146,142,133,336,950
1867,21843,2851,2293,2765,981,4055,692,3863,156,4730,137,5168,486,2773,283,5314,6872,5489,1803,4813,16928,5540,3584,10419,150,170,154,180,244,190,926
1830,18485,2671,2036,2435,900,3506,660,3387,160,4092,144,4723,266,2567,218,5036,6326,4720,1642,4384,15726,5373,2353,8756,748,161,775,159,133,145,1088
1953,20100,2736,1920,2619,875,3658,639,3686,140,4254,143,4713,303,2907,68,4889,6230,4998,1654,4479,15574,5004,1969,9280,2306,163,152,139,126,156,906
2219,25975,3182,2371,2990,1048,4552,776,4338,469,5272,222,6273,619,3459,296,6341,8063,6114,2026,5689,19757,6926,3248,11487,450,176,157,154,482,150,1370
2096,23295,3177,2195,3040,1166,4090,774,4019,158,4971,136,5596,348,3002,194,5838,7367,5625,1912,5189,17874,6437,2568,10822,2198,217,170,279,135,352,990
2048,25031,2991,2274,2924,1170,4412,1017,4461,251,5149,237,6062,427,3359,181,5827,8037,6136,1904,5419,19033,7081,2513,11360,2486,221,246,192,169,190,1032
1962,19787,2802,2067,2703,969,3774,678,3650,157,4448,147,5118,689,2763,367,5296,6722,5213,1686,4591,16682,5439,2341,9579,200,322,160,193,141,229,920
2081,23217,3066,2008,3102,1113,4355,840,4285,144,5239,160,5822,438,3156,110,6187,7860,6062,1798,5524,18977,6497,2427,11193,2089,317,188,195,135,186,993
1854,24048,2840,2117,2795,1298,4146,669,4092,344,4944,298,5404,404,3109,186,5601,6800,5728,1818,5226,17970,5560,2530,10565,1435,348,470,405,134,238,977
1932,22182,2713,2180,2780,1000,4157,979,3882,146,4632,196,5677,422,2834,163,5544,6929,5444,1862,5047,17287,6302,2329,10288,2375,172,172,172,136,324,970
2077,22199,2631,2193,2704,1150,3843,602,3750,188,4742,468,5154,676,2887,535,5173,6562,5416,1818,4776,17429,5902,3078,9938,231,236,154,187,137,157,1124
1844,21571,2659,2140,2664,958,3718,598,3563,164,4350,138,4780,320,2851,71,5265,5950,5254,1784,4719,16376,5475,3086,9405,744,234,154,160,132,143,987
2072,23206,2751,2254,2804,1101,4066,690,4005,346,4810,152,5538,387,2987,215,5620,6853,5534,1994,4995,17767,5938,2766,10503,1322,223,165,182,136,151,984
1862,21442,2791,2036,2887,1106,3923,736,3776,613,4515,229,5309,487,2807,336,5399,6883,5540,1757,4777,17078,6131,2767,10026,767,208,395,163,134,192,959
2371,24719,3099,2343,2988,1085,4432,768,4347,143,5392,161,5826,414,3192,128,6234,7890,6050,1971,5450,19993,6659,3655,11708,225,209,150,279,135,444,1007
2169,25730,3100,2403,3164,891,4587,847,4581,251,5557,172,5857,410,3489,131,6299,8200,6278,2024,5592,19240,6623,3417,11314,827,364,524,219,161,374,1006
1991,18670,2577,1989,2753,881,3552,580,3415,256,4176,201,4957,368,2618,128,4802,6402,5103,1670,4437,14754,5555,3066,9210,780,195,167,224,155,190,917
1870,20319,2696,2074,2678,1094,3606,596,3598,146,4396,149,4882,382,2567,124,5150,6293,4983,1678,4479,16088,5598,2282,9378,1197,513,153,494,145,381,891
2048,22559,2867,2091,2995,1144,4050,546,3905,272,4766,160,5367,329,2972,139,5523,7085,5729,1856,5014,17403,5959,3315,10278,315,266,148,186,137,195,1022
1964,21166,2936,1941,2790,907,3913,799,3650,186,4425,163,5272,429,2807,125,5312,6646,5077,1689,4707,16280,5919,2052,9932,1735,152,940,372,142,196,926
2043,24938,3175,2102,2934,1023,4340,830,4341,280,5335,185,5956,471,3161,164,6181,7728,6065,1997,5411,19786,6298,2926,11517,452,156,309,158,389,172,1113
2027,25413,3256,2402,3170,1227,4521,800,4446,132,5327,145,6080,355,3356,127,6264,8113,6385,1976,5726,19818,6695,2480,11701,1814,151,257,153,137,259,976
1786,21866,2621,1916,2516,953,3887,911,3759,276,4491,210,5238,434,2634,183,5271,6684,5011,1778,4759,17222,5548,3293,9605,430,319,309,263,344,282,1092
2035,20285,2722,1992,2701,986,3721,963,3730,165,4607,151,5088,482,2792,96,5010,6789,5286,1684,4624,16639,5804,2708,9797,468,152,148,146,137,269,938
2389,24749,3289,2161,3278,1138,4419,841,4525,339,5226,274,5996,546,3650,210,6625,8339,6518,2095,5596,19873,6797,2646,11735,1202,151,307,361,428,244,1298
2139,22899,3091,2152,2973,1053,4023,800,3905,257,4756,326,5356,336,3081,150,5810,7600,5559,1997,5320,18170,6217,2357,10330,492,164,333,168,272,188,994
1921,21229,2597,2168,2496,813,3672,654,3556,242,4368,205,4825,354,2579,140,4958,6234,5122,1862,4900,16034,5091,2046,9422,1581,179,1229,185,179,234,925
1994,24238,2980,2086,3088,1177,4356,796,4357,342,5295,204,5742,410,3099,90,6126,8037,5910,2117,5716,19090,6096,2445,11389,925,407,1545,461,176,404,1027
1752,17033,2542,1787,2483,869,3268,518,3177,263,3713,234,4346,414,2568,202,4392,5461,4366,1732,4039,13221,4663,1621,7749,278,260,965,436,295,416,778
