Linux 5.4.0-135-generic (grayfox) 	03/07/23 	_x86_64_	(32 CPU)

08:19:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:27     all    2.40    0.00   16.37    0.03    0.00    2.65    0.00   21.99    0.00   56.52
08:19:27       0    0.98    0.00   10.78    0.00    0.00    5.88    0.00   33.33    0.00   49.02
08:19:27       1    3.23    0.00   18.28    0.00    0.00    8.60    0.00   24.73    0.00   45.16
08:19:27       2    4.00    0.00   12.00    0.00    0.00    4.00    0.00   13.00    0.00   67.00
08:19:27       3    0.00    0.00   31.68    0.00    0.00    0.99    0.00   53.47    0.00   13.86
08:19:27       4    0.00    0.00   13.86    0.00    0.00    0.99    0.00   34.65    0.00   50.50
08:19:27       5    0.00    0.00   22.55    0.00    0.00    0.00    0.00   28.43    0.00   49.02
08:19:27       6    0.97    0.00   24.27    0.00    0.00    2.91    0.00   30.10    0.00   41.75
08:19:27       7    0.00    0.00   17.02    0.00    0.00    0.00    0.00   25.53    0.00   57.45
08:19:27       8    2.06    0.00   20.62    0.00    0.00    3.09    0.00   28.87    0.00   45.36
08:19:27       9    2.00    0.00   14.00    0.00    0.00    4.00    0.00    9.00    0.00   71.00
08:19:27      10    2.04    0.00   22.45    0.00    0.00    1.02    0.00   30.61    0.00   43.88
08:19:27      11    2.06    0.00   22.68    0.00    0.00    0.00    0.00   32.99    0.00   42.27
08:19:27      12    1.03    0.00   29.90    0.00    0.00    4.12    0.00   22.68    0.00   42.27
08:19:27      13    0.00    0.00    4.59    0.00    0.00    9.17    0.00    2.75    0.00   83.49
08:19:27      14    1.05    0.00   18.95    0.00    0.00    3.16    0.00   29.47    0.00   47.37
08:19:27      15    0.98    0.00    1.96    0.00    0.00    1.96    0.00    5.88    0.00   89.22
08:19:27      16    0.97    0.00   10.68    0.00    0.00    4.85    0.00    6.80    0.00   76.70
08:19:27      17    3.03    0.00    6.06    0.00    0.00    2.02    0.00    5.05    0.00   83.84
08:19:27      18    1.01    0.00    8.08    0.00    0.00    0.00    0.00   35.35    0.00   55.56
08:19:27      19    0.00    0.00    9.09    0.00    0.00    0.00    0.00   31.31    0.00   59.60
08:19:27      20    2.06    0.00   11.34    0.00    0.00    4.12    0.00    7.22    0.00   75.26
