Linux 5.4.0-125-generic (grayfox) 	10/08/22 	_x86_64_	(32 CPU)

19:00:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:00:26     all   13.04    0.00    5.40    0.00    0.00    1.83    0.00    0.00    0.00   79.72
19:00:26       0    8.74    0.00    5.83    0.00    0.00    5.83    0.00    0.00    0.00   79.61
19:00:26       1    7.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   86.00
19:00:26       2    6.19    0.00    8.25    0.00    0.00    1.03    0.00    0.00    0.00   84.54
19:00:26       3    5.05    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   87.88
19:00:26       4    6.25    0.00    4.17    0.00    0.00    2.08    0.00    0.00    0.00   87.50
19:00:26       5    8.91    0.00    3.96    0.00    0.00    2.97    0.00    0.00    0.00   84.16
19:00:26       6    8.00    0.00    3.00    0.00    0.00    5.00    0.00    0.00    0.00   84.00
19:00:26       7    8.16    0.00    3.06    0.00    0.00    2.04    0.00    0.00    0.00   86.73
19:00:26       8    8.00    0.00    5.00    0.00    0.00    3.00    0.00    0.00    0.00   84.00
19:00:26       9    7.00    0.00    5.00    0.00    0.00    3.00    0.00    0.00    0.00   85.00
19:00:26      10    9.90    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   83.17
19:00:26      11    7.07    0.00    7.07    0.00    0.00    2.02    0.00    0.00    0.00   83.84
19:00:26      12    9.18    0.00    4.08    0.00    0.00    2.04    0.00    0.00    0.00   84.69
19:00:26      13    6.12    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   85.71
19:00:26      14    7.14    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   84.69
19:00:26      15    8.16    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   86.73
19:00:26      16    8.08    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   85.86
19:00:26      17    7.14    0.00    4.08    0.00    0.00    2.04    0.00    0.00    0.00   86.73
19:00:26      18    7.14    0.00    4.08    0.00    0.00    2.04    0.00    0.00    0.00   86.73
19:00:26      19    9.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   85.00
19:00:26      20    6.06    0.00    7.07    0.00    0.00    2.02    0.00    0.00    0.00   84.85
19:00:26      21    9.28    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   86.60
19:00:26      22   10.10    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   84.85
19:00:26      23    7.00    0.00    7.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
19:00:26      24    6.12    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   85.71
19:00:26      25    9.00    0.00    8.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
19:00:26      26    7.00    0.00    8.00    0.00    0.00    2.00    0.00    0.00    0.00   83.00
19:00:26      27    8.25    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   85.57
19:00:26      28    4.12    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   86.60
19:00:26      29   95.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00
19:00:26      30    5.10    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   86.73
19:00:26      31   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00

19:00:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:00:27     all   13.06    0.00    4.54    0.00    0.00    1.75    0.00    0.00    0.00   80.65
19:00:27       0    9.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   85.00
19:00:27       1    6.00    0.00    4.00    0.00    0.00    3.00    0.00    0.00    0.00   87.00
19:00:27       2    6.12    0.00    4.08    0.00    0.00    2.04    0.00    0.00    0.00   87.76
19:00:27       3   10.78    0.00    2.94    0.00    0.00    0.98    0.00    0.00    0.00   85.29
19:00:27       4    7.22    0.00    5.15    0.00    0.00    2.06    0.00    0.00    0.00   85.57
19:00:27       5    4.08    0.00    9.18    0.00    0.00    1.02    0.00    0.00    0.00   85.71
19:00:27       6    8.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
19:00:27       7    7.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   87.00
19:00:27       8    8.91    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   84.16
19:00:27       9    6.00    0.00    4.00    0.00    0.00    3.00    0.00    0.00    0.00   87.00
19:00:27      10   10.10    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   84.85
19:00:27      11    8.91    0.00    4.95    0.00    0.00    0.99    0.00    0.00    0.00   85.15
19:00:27      12    7.92    0.00    5.94    0.00    0.00    1.98    0.00    0.00    0.00   84.16
19:00:27      13    8.16    0.00    2.04    0.00    0.00    2.04    0.00    0.00    0.00   87.76
19:00:27      14    7.84    0.00    4.90    0.00    0.00    1.96    0.00    0.00    0.00   85.29
19:00:27      15    6.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   87.00
19:00:27      16    6.06    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   86.87
19:00:27      17    6.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   87.00
19:00:27      18    6.80    0.00    6.80    0.00    0.00    3.88    0.00    0.00    0.00   82.52
19:00:27      19    8.91    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   86.14
19:00:27      20    7.14    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   88.78
19:00:27      21    7.22    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   88.66
19:00:27      22    7.00    0.00    3.00    0.00    0.00    4.00    0.00    0.00    0.00   86.00
19:00:27      23    7.07    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   86.87
19:00:27      24    7.92    0.00    4.95    0.00    0.00    1.98    0.00    0.00    0.00   85.15
19:00:27      25    5.05    0.00    8.08    0.00    0.00    1.01    0.00    0.00    0.00   85.86
19:00:27      26    8.08    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   84.85
19:00:27      27    5.05    0.00    6.06    0.00    0.00    2.02    0.00    0.00    0.00   86.87
19:00:27      28    9.90    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   85.15
19:00:27      29   98.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00
19:00:27      30    7.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   86.00
19:00:27      31   97.03    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00    0.00

19:00:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:00:28     all   12.45    0.00    4.71    0.00    0.00    1.57    0.00    0.00    0.00   81.27
19:00:28       0    7.00    0.00    4.00    0.00    0.00    4.00    0.00    0.00    0.00   85.00
19:00:28       1    3.88    0.00    6.80    0.00    0.00    3.88    0.00    0.00    0.00   85.44
19:00:28       2    4.08    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   87.76
19:00:28       3    6.06    0.00    4.04    0.00    0.00    2.02    0.00    0.00    0.00   87.88
19:00:28       4    7.14    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   87.76
19:00:28       5    6.00    0.00    8.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
19:00:28       6    5.88    0.00    3.92    0.00    0.00    4.90    0.00    0.00    0.00   85.29
19:00:28       7    8.91    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   86.14
19:00:28       8    5.94    0.00    7.92    0.00    0.00    1.98    0.00    0.00    0.00   84.16
19:00:28       9    9.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
19:00:28      10    5.00    0.00    6.00    0.00    0.00    2.00    0.00    0.00    0.00   87.00
19:00:28      11    5.21    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   91.67
19:00:28      12    8.82    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   85.29
19:00:28      13    7.84    0.00    4.90    0.00    0.00    1.96    0.00    0.00    0.00   85.29
19:00:28      14    8.16    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   86.73
19:00:28      15    6.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   87.00
19:00:28      16    7.14    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   87.76
19:00:28      17    7.07    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   87.88
19:00:28      18    7.22    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   87.63
19:00:28      19    7.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   86.00
19:00:28      20    5.05    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   87.88
19:00:28      21    8.08    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   86.87
19:00:28      22    6.06    0.00    4.04    0.00    0.00    2.02    0.00    0.00    0.00   87.88
19:00:28      23    6.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   87.00
19:00:28      24    7.07    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   86.87
19:00:28      25    6.12    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   87.76
19:00:28      26    8.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
19:00:28      27    7.92    0.00    4.95    0.00    0.00    1.98    0.00    0.00    0.00   85.15
19:00:28      28    8.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   86.00
19:00:28      29   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:00:28      30    8.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   86.00
19:00:28      31   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00    0.00

19:00:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:00:29     all   12.78    0.00    4.04    0.00    0.00    1.92    0.00    0.00    0.00   81.26
19:00:29       0    5.10    0.00    5.10    0.00    0.00    3.06    0.00    0.00    0.00   86.73
19:00:29       1    3.81    0.00    2.86    0.00    0.00   10.48    0.00    0.00    0.00   82.86
19:00:29       2    8.16    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   86.73
19:00:29       3    5.94    0.00    4.95    0.00    0.00    2.97    0.00    0.00    0.00   86.14
19:00:29       4    6.00    0.00    7.00    0.00    0.00    2.00    0.00    0.00    0.00   85.00
19:00:29       5   10.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   86.00
19:00:29       6    8.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
19:00:29       7    4.21    0.00    3.16    0.00    0.00    1.05    0.00    0.00    0.00   91.58
19:00:29       8    7.07    0.00    7.07    0.00    0.00    1.01    0.00    0.00    0.00   84.85
19:00:29       9    6.86    0.00    3.92    0.00    0.00    3.92    0.00    0.00    0.00   85.29
19:00:29      10    7.29    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   89.58
19:00:29      11    8.25    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   89.69
19:00:29      12   10.31    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   85.57
19:00:29      13    8.16    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   87.76
19:00:29      14    8.91    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   86.14
19:00:29      15    5.10    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   88.78
19:00:29      16    9.09    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   83.84
19:00:29      17    6.86    0.00    1.96    0.00    0.00    5.88    0.00    0.00    0.00   85.29
19:00:29      18    8.08    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   86.87
19:00:29      19    6.19    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   88.66
19:00:29      20    6.93    0.00    4.95    0.00    0.00    2.97    0.00    0.00    0.00   85.15
19:00:29      21    6.12    0.00    3.06    0.00    0.00    2.04    0.00    0.00    0.00   88.78
19:00:29      22    6.06    0.00    4.04    0.00    0.00    2.02    0.00    0.00    0.00   87.88
19:00:29      23    5.10    0.00    6.12    0.00    0.00    1.02    0.00    0.00    0.00   87.76
19:00:29      24   10.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   86.00
19:00:29      25    7.14    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   87.76
19:00:29      26    7.00    0.00    5.00    0.00    0.00    3.00    0.00    0.00    0.00   85.00
19:00:29      27    6.12    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   87.76
19:00:29      28    6.12    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   87.76
19:00:29      29   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:00:29      30    8.16    0.00    3.06    0.00    0.00    2.04    0.00    0.00    0.00   86.73
