Linux 5.4.0-125-generic (grayfox) 	10/08/22 	_x86_64_	(32 CPU)

18:44:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:44:24     all   14.06    0.00    5.46    0.00    0.00    2.84    0.00    0.00    0.00   77.64
18:44:24       0   10.20    0.00    4.08    0.00    0.00    3.06    0.00    0.00    0.00   82.65
18:44:24       1   10.20    0.00    7.14    0.00    0.00    4.08    0.00    0.00    0.00   78.57
18:44:24       2   11.00    0.00    6.00    0.00    0.00    3.00    0.00    0.00    0.00   80.00
18:44:24       3   14.85    0.00    5.94    0.00    0.00    2.97    0.00    0.00    0.00   76.24
18:44:24       4   17.17    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   78.79
18:44:24       5   10.78    0.00    7.84    0.00    0.00    2.94    0.00    0.00    0.00   78.43
18:44:24       6   11.11    0.00    3.03    0.00    0.00    4.04    0.00    0.00    0.00   81.82
18:44:24       7   13.13    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   81.82
18:44:24       8   15.31    0.00    2.04    0.00    0.00    2.04    0.00    0.00    0.00   80.61
18:44:24       9   11.11    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   81.82
18:44:24      10   10.20    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   84.69
18:44:24      11   12.12    0.00    3.03    0.00    0.00    3.03    0.00    0.00    0.00   81.82
18:44:24      12   13.13    0.00    4.04    0.00    0.00    2.02    0.00    0.00    0.00   80.81
18:44:24      13   16.16    0.00    4.04    0.00    0.00    3.03    0.00    0.00    0.00   76.77
18:44:24      14   13.54    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   82.29
18:44:24      15   10.00    0.00    7.00    0.00    0.00    2.00    0.00    0.00    0.00   81.00
18:44:24      16   14.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   80.00
18:44:24      17   11.22    0.00    5.10    0.00    0.00    2.04    0.00    0.00    0.00   81.63
18:44:24      18   15.31    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   78.57
18:44:24      19    9.28    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   84.54
18:44:24      20   16.33    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   77.55
