Linux 5.4.0-125-generic (grayfox) 	10/08/22 	_x86_64_	(32 CPU)

12:16:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:45     all   12.14    0.00    7.24    0.00    0.00    2.88    0.00    0.00    0.00   77.74
12:16:45       0    9.62    0.00    1.92    0.00    0.00    5.77    0.00    0.00    0.00   82.69
12:16:45       1    6.38    0.00    7.45    0.00    0.00    5.32    0.00    0.00    0.00   80.85
12:16:45       2    2.06    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   93.81
12:16:45       3    6.06    0.00   13.13    0.00    0.00    3.03    0.00    0.00    0.00   77.78
12:16:45       4   16.33    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   81.63
12:16:45       5    4.21    0.00   11.58    0.00    0.00    1.05    0.00    0.00    0.00   83.16
12:16:45       6    1.04    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   95.83
12:16:45       7    6.06    0.00    8.08    0.00    0.00    3.03    0.00    0.00    0.00   82.83
12:16:45       8    1.03    0.00    7.22    0.00    0.00    3.09    0.00    0.00    0.00   88.66
12:16:45       9    5.94    0.00   13.86    0.00    0.00    2.97    0.00    0.00    0.00   77.23
12:16:45      10   60.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   34.00
12:16:45      11    9.18    0.00    7.14    0.00    0.00    3.06    0.00    0.00    0.00   80.61
12:16:45      12   20.41    0.00    1.02    0.00    0.00    2.04    0.00    0.00    0.00   76.53
12:16:45      13    7.22    0.00   13.40    0.00    0.00    3.09    0.00    0.00    0.00   76.29
12:16:45      14   14.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
12:16:45      15    4.08    0.00   11.22    0.00    0.00    4.08    0.00    0.00    0.00   80.61
12:16:45      16   47.00    0.00    5.00    0.00    0.00    3.00    0.00    0.00    0.00   45.00
12:16:45      17    2.22    0.00    6.67    0.00    0.00    2.22    0.00    0.00    0.00   88.89
12:16:45      18    7.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   87.00
12:16:45      19    7.22    0.00    9.28    0.00    0.00    5.15    0.00    0.00    0.00   78.35
12:16:45      20   17.53    0.00    6.19    0.00    0.00    4.12    0.00    0.00    0.00   72.16
12:16:45      21   16.49    0.00    4.12    0.00    0.00    3.09    0.00    0.00    0.00   76.29
12:16:45      22   10.31    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   85.57
12:16:45      23    4.08    0.00    7.14    0.00    0.00    3.06    0.00    0.00    0.00   85.71
12:16:45      24    7.14    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   84.69
12:16:45      25    8.16    0.00    8.16    0.00    0.00    1.02    0.00    0.00    0.00   82.65
12:16:45      26    3.12    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   93.75
12:16:45      27    3.19    0.00   10.64    0.00    0.00    2.13    0.00    0.00    0.00   84.04
12:16:45      28    3.09    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   93.81
12:16:45      29   29.90    0.00   17.53    0.00    0.00    8.25    0.00    0.00    0.00   44.33
12:16:45      30   20.20    0.00   11.11    0.00    0.00    1.01    0.00    0.00    0.00   67.68
12:16:45      31   25.00    0.00   21.88    0.00    0.00    7.29    0.00    0.00    0.00   45.83

12:16:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:46     all   16.40    0.00    9.65    0.03    0.00    4.43    0.00    0.00    0.00   69.50
12:16:46       0   12.04    0.00    1.85    0.00    0.00    9.26    0.00    0.00    0.00   76.85
12:16:46       1   10.42    0.00   10.42    0.00    0.00    4.17    0.00    0.00    0.00   75.00
12:16:46       2    4.04    0.00    3.03    0.00    0.00    6.06    0.00    0.00    0.00   86.87
12:16:46       3    7.61    0.00   13.04    0.00    0.00    1.09    0.00    0.00    0.00   78.26
12:16:46       4   29.59    0.00    3.06    0.00    0.00    2.04    0.00    0.00    0.00   65.31
12:16:46       5    7.92    0.00   17.82    0.00    0.00    1.98    0.00    0.00    0.00   72.28
12:16:46       6    2.13    0.00    3.19    0.00    0.00    2.13    0.00    0.00    0.00   92.55
12:16:46       7    6.38    0.00   13.83    0.00    0.00    2.13    0.00    0.00    0.00   77.66
12:16:46       8    3.12    0.00    9.38    0.00    0.00    5.21    0.00    0.00    0.00   82.29
12:16:46       9    7.00    0.00   15.00    0.00    0.00    5.00    0.00    0.00    0.00   73.00
12:16:46      10   25.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   69.00
12:16:46      11    8.33    0.00   15.62    0.00    0.00    1.04    0.00    0.00    0.00   75.00
12:16:46      12   38.38    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   54.55
12:16:46      13    7.07    0.00   15.15    0.00    0.00    1.01    0.00    0.00    0.00   76.77
12:16:46      14   23.66    0.00    4.30    0.00    0.00    0.00    0.00    0.00    0.00   72.04
12:16:46      15    6.00    0.00   11.00    0.00    0.00    2.00    0.00    0.00    0.00   81.00
12:16:46      16   90.00    0.00    8.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00
12:16:46      17    6.19    0.00    5.15    0.00    0.00    4.12    0.00    0.00    0.00   84.54
12:16:46      18   10.31    0.00    4.12    0.00    0.00    7.22    0.00    0.00    0.00   78.35
12:16:46      19    6.06    0.00   13.13    0.00    0.00   14.14    0.00    0.00    0.00   66.67
12:16:46      20   34.65    0.00    7.92    0.00    0.00    7.92    0.00    0.00    0.00   49.50
12:16:46      21   30.10    0.00    6.80    0.00    0.00    5.83    0.00    0.00    0.00   57.28
12:16:46      22   13.13    0.00    6.06    0.00    0.00    8.08    0.00    0.00    0.00   72.73
12:16:46      23    4.08    0.00    9.18    0.00    0.00    2.04    0.00    0.00    0.00   84.69
