Linux 5.4.0-125-generic (grayfox) 	10/08/22 	_x86_64_	(32 CPU)

11:12:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:12:46     all    7.33    0.00    2.35    0.00    0.00    1.38    0.00    0.00    0.00   88.94
11:12:46       0    0.98    0.00    0.98    0.00    0.00    1.96    0.00    0.00    0.00   96.08
11:12:46       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46       3    0.00    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   97.03
11:12:46       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46       5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:12:46       6    4.04    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   94.95
11:12:46       7    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:12:46       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      10   16.83    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   78.22
11:12:46      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      12    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:12:46      13    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
11:12:46      14    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:12:46      15   13.13    0.00    9.09    0.00    0.00    1.01    0.00    0.00    0.00   76.77
11:12:46      16   82.47    0.00    3.09    0.00    0.00    2.06    0.00    0.00    0.00   12.37
11:12:46      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      18    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:12:46      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      20   41.00    0.00    8.00    0.00    0.00    8.00    0.00    0.00    0.00   43.00
11:12:46      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      22   11.34    0.00    7.22    0.00    0.00    2.06    0.00    0.00    0.00   79.38
11:12:46      23    2.06    0.00    9.28    0.00    0.00    7.22    0.00    0.00    0.00   81.44
11:12:46      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      25    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:12:46      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      27    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
11:12:46      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      29    2.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   93.00
11:12:46      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:46      31   50.96    0.00   15.38    0.00    0.00   17.31    0.00    0.00    0.00   16.35

11:12:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:12:47     all    6.16    0.00    1.57    0.00    0.00    0.72    0.00    0.00    0.00   91.55
11:12:47       0    0.00    0.00    1.96    0.00    0.00    2.94    0.00    0.00    0.00   95.10
11:12:47       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47       5    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:12:47       6    1.01    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   94.95
11:12:47       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47      10   15.62    0.00    1.04    0.00    0.00    1.04    0.00    0.00    0.00   82.29
11:12:47      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47      12    2.97    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   96.04
11:12:47      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47      14    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:12:47      15    4.17    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   92.71
11:12:47      16   88.89    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    9.09
11:12:47      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:12:47      20   41.58    0.00    8.91    0.00    0.00    7.92    0.00    0.00    0.00   41.58
