Linux 5.4.0-125-generic (grayfox) 	10/08/22 	_x86_64_	(32 CPU)

21:25:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:26:00     all    1.79    0.00    3.29    0.00    0.00    0.85    0.00    6.11    0.00   87.97
21:26:00       0    2.75    0.00    7.34    0.00    0.00   11.93    0.00    0.00    0.00   77.98
21:26:00       1    0.98    0.00    5.88    0.00    0.00    1.96    0.00   68.63    0.00   22.55
21:26:00       2    2.06    0.00    4.12    0.00    0.00    4.12    0.00    0.00    0.00   89.69
21:26:00       3    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
21:26:00       4    1.03    0.00    7.22    0.00    0.00    1.03    0.00    7.22    0.00   83.51
21:26:00       5    0.00    0.00    2.00    0.00    0.00    0.00    0.00    2.00    0.00   96.00
21:26:00       6    3.03    0.00    4.04    0.00    0.00    2.02    0.00    3.03    0.00   87.88
21:26:00       7    1.05    0.00    5.26    0.00    0.00    3.16    0.00    0.00    0.00   90.53
21:26:00       8    0.00    0.00    6.00    0.00    0.00    0.00    0.00    6.00    0.00   88.00
21:26:00       9    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.99    0.00   98.02
21:26:00      10    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
21:26:00      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99    0.00   99.01
21:26:00      12    0.86    0.00    5.17    0.00    0.00    0.00    0.00   18.97    0.00   75.00
21:26:00      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:26:00      14    0.00    0.00    0.99    0.00    0.00    0.00    0.00    4.95    0.00   94.06
21:26:00      15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
21:26:00      16    1.92    0.00   10.58    0.00    0.00    0.00    0.00   34.62    0.00   52.88
21:26:00      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01    0.00   98.99
21:26:00      18    1.05    0.00    3.16    0.00    0.00    1.05    0.00    7.37    0.00   87.37
21:26:00      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:26:00      20    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
21:26:00      21    0.00    0.00    1.01    0.00    0.00    0.00    0.00    3.03    0.00   95.96
21:26:00      22    0.00    0.00    1.01    0.00    0.00    0.00    0.00    3.03    0.00   95.96
21:26:00      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:26:00      24    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
21:26:00      25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
21:26:00      26    0.00    0.00    5.10    0.00    0.00    0.00    0.00    9.18    0.00   85.71
21:26:00      27    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
21:26:00      28    0.99    0.00    9.90    0.00    0.00    0.00    0.00    7.92    0.00   81.19
21:26:00      29   21.05    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   71.58
21:26:00      30    0.00    0.00    4.08    0.00    0.00    0.00    0.00   11.22    0.00   84.69
21:26:00      31   20.43    0.00    7.53    0.00    0.00    0.00    0.00    0.00    0.00   72.04

21:26:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:26:01     all    0.37    0.00    2.74    0.00    0.00    0.93    0.00    6.10    0.00   89.77
21:26:01       0    0.00    0.00    6.82    0.00    0.00    6.06    0.00   19.70    0.00   67.42
21:26:01       1    0.00    0.00    2.00    0.00    0.00    0.00    0.00   72.00    0.00   26.00
21:26:01       2    0.00    0.00    1.96    0.00    0.00    2.94    0.00    3.92    0.00   91.18
21:26:01       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
21:26:01       4    0.00    0.00    5.05    0.00    0.00    2.02    0.00    1.01    0.00   91.92
21:26:01       5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
