Linux 5.4.0-125-generic (grayfox) 	10/08/22 	_x86_64_	(32 CPU)

16:57:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:57:12     all    1.34    0.00    3.27    0.00    0.00    1.40    0.00    5.14    0.00   88.82
16:57:12       0    0.00    0.00    0.00    0.00    0.00   24.62    0.00    0.00    0.00   75.38
16:57:12       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00
16:57:12       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12       5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:12       6    1.00    0.00    7.00    0.00    0.00    1.00    0.00    6.00    0.00   85.00
16:57:12       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      10    1.00    0.00    8.00    0.00    0.00    0.00    0.00   12.00    0.00   79.00
16:57:12      11    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:12      12    0.00    0.00    1.03    0.00    0.00    0.00    0.00    3.09    0.00   95.88
16:57:12      13    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
16:57:12      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00
16:57:12      15    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:12      16    2.00    0.00   10.00    0.00    0.00    2.00    0.00   67.00    0.00   19.00
16:57:12      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      20    1.01    0.00   27.27    0.00    0.00    4.04    0.00   40.40    0.00   27.27
16:57:12      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      22    1.03    0.00    9.28    0.00    0.00    2.06    0.00   21.65    0.00   65.98
16:57:12      23    3.00    0.00   27.00    0.00    0.00    4.00    0.00   14.00    0.00   52.00
16:57:12      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      25    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:12      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      27    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:12      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:12      31   30.53    0.00   12.63    0.00    0.00    0.00    0.00    0.00    0.00   56.84

16:57:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:57:13     all    0.40    0.00    2.77    0.00    0.00    1.15    0.00    4.67    0.00   91.00
16:57:13       0    0.81    0.00    0.00    0.00    0.00   19.35    0.00    0.81    0.00   79.03
16:57:13       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13       6    0.00    0.00    5.10    0.00    0.00    1.02    0.00    5.10    0.00   88.78
16:57:13       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      10    0.00    0.00    6.19    0.00    0.00    0.00    0.00   11.34    0.00   82.47
16:57:13      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      12    1.02    0.00    1.02    0.00    0.00    0.00    0.00    3.06    0.00   94.90
16:57:13      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      14    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:13      15    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
16:57:13      16    1.00    0.00    4.00    0.00    0.00    0.00    0.00   68.00    0.00   27.00
16:57:13      17    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:57:13      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      19    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:13      20    1.98    0.00   24.75    0.00    0.00    4.95    0.00   34.65    0.00   33.66
16:57:13      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      22    2.02    0.00   13.13    0.00    0.00    2.02    0.00   13.13    0.00   69.70
16:57:13      23    3.03    0.00   25.25    0.00    0.00    3.03    0.00   14.14    0.00   54.55
16:57:13      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      27    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:13      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      29    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
16:57:13      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:13      31    1.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   95.00

16:57:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:57:14     all    0.31    0.00    2.81    0.00    0.00    1.25    0.00    5.06    0.00   90.51
16:57:14       0    0.00    0.00    0.00    0.00    0.00   22.22    0.00    1.59    0.00   76.19
16:57:14       1    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
16:57:14       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14       6    1.03    0.00    7.22    0.00    0.00    0.00    0.00    5.15    0.00   86.60
16:57:14       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      10    0.00    0.00    7.00    0.00    0.00    1.00    0.00   12.00    0.00   80.00
16:57:14      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      12    0.00    0.00    2.02    0.00    0.00    1.01    0.00    6.06    0.00   90.91
16:57:14      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      14    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.99    0.00   98.02
16:57:14      15    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:14      16    1.00    0.00    7.00    0.00    0.00    1.00    0.00   66.00    0.00   25.00
16:57:14      17    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
16:57:14      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      20    4.04    0.00   24.24    0.00    0.00    4.04    0.00   36.36    0.00   31.31
16:57:14      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      22    0.00    0.00   10.31    0.00    0.00    2.06    0.00   18.56    0.00   69.07
16:57:14      23    3.12    0.00   25.00    0.00    0.00    2.08    0.00   16.67    0.00   53.12
16:57:14      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      25    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
16:57:14      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      27    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
16:57:14      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      29    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
16:57:14      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:14      31    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96

16:57:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:57:15     all    0.25    0.00    2.86    0.00    0.00    1.12    0.00    5.07    0.00   90.67
16:57:15       0    0.00    0.00    0.79    0.00    0.00   21.26    0.00    1.57    0.00   76.38
16:57:15       1    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
16:57:15       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15       3    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:15       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00
16:57:15       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15       6    0.00    0.00    8.00    0.00    0.00    1.00    0.00    5.00    0.00   86.00
16:57:15       7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:15       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      10    0.00    0.00    4.08    0.00    0.00    0.00    0.00   12.24    0.00   83.67
16:57:15      11    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:57:15      12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    7.92    0.00   91.09
16:57:15      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      15    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:15      16    0.99    0.00    3.96    0.00    0.00    0.99    0.00   68.32    0.00   25.74
16:57:15      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      19    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:15      20    1.98    0.00   27.72    0.00    0.00    2.97    0.00   34.65    0.00   32.67
16:57:15      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      22    2.02    0.00   11.11    0.00    0.00    1.01    0.00   18.18    0.00   67.68
16:57:15      23    2.11    0.00   29.47    0.00    0.00    2.11    0.00   13.68    0.00   52.63
16:57:15      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      27    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:15      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:15      31    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97

16:57:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:57:16     all    0.34    0.00    2.70    0.00    0.00    1.40    0.00    5.00    0.00   90.56
16:57:16       0    0.00    0.00    0.00    0.00    0.00   22.66    0.00    0.78    0.00   76.56
16:57:16       1    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
16:57:16       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00
16:57:16       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16       5    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:57:16       6    0.00    0.00    6.00    0.00    0.00    1.00    0.00    7.00    0.00   86.00
16:57:16       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16      10    0.00    0.00    4.90    0.00    0.00    0.00    0.00   14.71    0.00   80.39
16:57:16      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16      12    0.00    0.00    1.03    0.00    0.00    0.00    0.00    5.15    0.00   93.81
16:57:16      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:16      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00
16:57:16      15    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:16      16    0.99    0.00    4.95    0.00    0.00    2.97    0.00   68.32    0.00   22.77
16:57:16      17    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
16:57:16      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16      20    3.03    0.00   24.24    0.00    0.00    5.05    0.00   31.31    0.00   36.36
16:57:16      21    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:57:16      22    1.01    0.00   11.11    0.00    0.00    3.03    0.00   16.16    0.00   68.69
16:57:16      23    1.04    0.00   23.96    0.00    0.00    3.12    0.00   15.62    0.00   56.25
16:57:16      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16      25    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:16      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16      27    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
16:57:16      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16      29    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
16:57:16      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:16      31    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90

16:57:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:57:17     all    0.81    0.00    3.02    0.00    0.00    1.25    0.00    4.80    0.00   90.12
16:57:17       0    0.00    0.00    0.00    0.00    0.00   22.22    0.00    0.79    0.00   76.98
16:57:17       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:17       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17       6    0.00    0.00    9.00    0.00    0.00    0.00    0.00    6.00    0.00   85.00
16:57:17       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      10    1.02    0.00    4.08    0.00    0.00    1.02    0.00   11.22    0.00   82.65
16:57:17      11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:17      12    1.02    0.00    2.04    0.00    0.00    0.00    0.00    3.06    0.00   93.88
16:57:17      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:17      16    1.02    0.00    6.12    0.00    0.00    0.00    0.00   70.41    0.00   22.45
16:57:17      17    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:17      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      19    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:57:17      20    3.03    0.00   21.21    0.00    0.00    5.05    0.00   36.36    0.00   34.34
16:57:17      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      22    2.02    0.00   14.14    0.00    0.00    2.02    0.00   13.13    0.00   68.69
16:57:17      23    2.06    0.00   25.77    0.00    0.00    3.09    0.00   15.46    0.00   53.61
16:57:17      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:17      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      27    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
16:57:17      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      29    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
16:57:17      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:17      31   15.69    0.00    4.90    0.00    0.00    0.98    0.00    0.00    0.00   78.43

16:57:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:57:18     all    0.28    0.00    2.98    0.00    0.00    1.37    0.00    5.38    0.00   89.99
16:57:18       0    0.79    0.00    0.00    0.00    0.00   22.05    0.00    1.57    0.00   75.59
16:57:18       1    0.00    0.00    0.00    0.00    0.00    1.96    0.00    0.00    0.00   98.04
16:57:18       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18       5    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
16:57:18       6    0.00    0.00    6.93    0.00    0.00    0.00    0.00    8.91    0.00   84.16
16:57:18       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      10    1.00    0.00    4.00    0.00    0.00    0.00    0.00   14.00    0.00   81.00
16:57:18      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      12    0.00    0.00    2.02    0.00    0.00    0.00    0.00    5.05    0.00   92.93
16:57:18      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02    0.00   97.98
16:57:18      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      16    0.00    0.00    6.00    0.00    0.00    2.00    0.00   72.00    0.00   20.00
16:57:18      17    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:18      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      20    1.00    0.00   28.00    0.00    0.00    6.00    0.00   35.00    0.00   30.00
16:57:18      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      22    0.00    0.00   13.13    0.00    0.00    2.02    0.00   18.18    0.00   66.67
16:57:18      23    0.99    0.00   30.69    0.00    0.00    3.96    0.00   15.84    0.00   48.51
16:57:18      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      25    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:57:18      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      27    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:57:18      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
16:57:18      31    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92

16:57:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
